date,season,rank,school
2022-10-18,2022-23,2,SMU
2022-10-18,2022-23,3,Texas A&M
2022-10-18,2022-23,4,Oklahoma State
2022-10-18,2022-23,5,Georgia
2022-10-18,2022-23,6,Auburn
2022-10-18,2022-23,7,South Carolina
2022-10-18,2022-23,8,UC Davis
2022-10-18,2022-23,9,UT Martin
2022-10-18,2022-23,10,Baylor
2022-10-25,2022-23,1,SMU
2022-10-25,2022-23,2,Oklahoma State
2022-10-25,2022-23,3,TCU
2022-10-25,2022-23,4,Georgia
2022-10-25,2022-23,5,Texas A&M
2022-10-25,2022-23,6,Auburn
2022-10-25,2022-23,7,South Carolina
2022-10-25,2022-23,8,Baylor
2022-10-25,2022-23,9,UC Davis
2022-10-25,2022-23,10,UT Martin
2022-11-01,2022-23,1,SMU
2022-11-01,2022-23,2,TCU
2022-11-01,2022-23,3,Georgia
2022-11-01,2022-23,4,Auburn
2022-11-01,2022-23,5,Texas A&M
2022-11-01,2022-23,6,Oklahoma State
2022-11-01,2022-23,7,South Carolina
2022-11-01,2022-23,8,Baylor
2022-11-01,2022-23,9,UC Davis
2022-11-01,2022-23,10,UT Martin
2022-11-08,2022-23,1,SMU
2022-11-08,2022-23,2,TCU
2022-11-08,2022-23,3,Georgia
2022-11-08,2022-23,4,Auburn
2022-11-08,2022-23,5,Texas A&M
2022-11-08,2022-23,6,Oklahoma State
2022-11-08,2022-23,7,South Carolina
2022-11-08,2022-23,8,Baylor
2022-11-08,2022-23,9,UC Davis
2022-11-08,2022-23,10,UC Martin
2022-11-15,2022-23,1,SMU
2022-11-15,2022-23,2,TCU
2022-11-15,2022-23,3,Auburn
2022-11-15,2022-23,4,Georgia
2022-11-15,2022-23,5,Texas A&M
2022-11-15,2022-23,6,South Carolina
2022-11-15,2022-23,7,Oklahoma State
2022-11-15,2022-23,8,Baylor
2022-11-15,2022-23,9,UT Martin
2022-11-15,2022-23,10,Delaware State
2022-11-22,2022-23,1,SMU
2022-11-22,2022-23,2,TCU
2022-11-22,2022-23,3,Auburn
2022-11-22,2022-23,4,Texas A&M
2022-11-22,2022-23,5,South Carolina
2022-11-22,2022-23,6,Oklahoma State
2022-11-22,2022-23,7,Georgia
2022-11-22,2022-23,8,Baylor
2022-11-22,2022-23,9,UT Martin
2022-11-22,2022-23,10,Delaware State
2023-01-31,2022-23,1,SMU
2023-01-31,2022-23,2,TCU
2023-01-31,2022-23,3,Auburn
2023-01-31,2022-23,4,Texas A&M
2023-01-31,2022-23,5,South Carolina
2023-01-31,2022-23,6,Oklahoma State
2023-01-31,2022-23,7,Georgia
2023-01-31,2022-23,8,Baylor
2023-01-31,2022-23,9,UT Martin
2023-01-31,2022-23,10,Delaware State
2023-02-07,2022-23,1,SMU
2023-02-07,2022-23,2,TCU
2023-02-07,2022-23,3,Texas A&M
2023-02-07,2022-23,4,Auburn
2023-02-07,2022-23,5,Georgia
2023-02-07,2022-23,6,South Carolina
2023-02-07,2022-23,7,Oklahoma State
2023-02-07,2022-23,8,Baylor
2023-02-07,2022-23,9,Fresno State
2023-02-07,2022-23,10,UT Martin
2023-02-14,2022-23,1,SMU
2023-02-14,2022-23,2,TCU
2023-02-14,2022-23,3,Texas A&M
2023-02-14,2022-23,4,Auburn
2023-02-14,2022-23,5,Georgia
2023-02-14,2022-23,6,South Carolina
2023-02-14,2022-23,7,Oklahoma State
2023-02-14,2022-23,8,Baylor
2023-02-14,2022-23,9,Fresno State
2023-02-14,2022-23,10,UC Davis
2023-02-21,2022-23,1,SMU
2023-02-21,2022-23,2,TCU
2023-02-21,2022-23,3,Auburn
2023-02-21,2022-23,4,Texas A&M
2023-02-21,2022-23,5,Georgia
2023-02-21,2022-23,6,South Carolina
2023-02-21,2022-23,7,Oklahoma State
2023-02-21,2022-23,8,Baylor
2023-02-21,2022-23,9,Fresno State
2023-02-21,2022-23,10,UT Martin
2023-02-28,2022-23,1,SMU
2023-02-28,2022-23,2,Auburn
2023-02-28,2022-23,3,TCU
2023-02-28,2022-23,4,Texas A&M
2023-02-28,2022-23,5,Oklahoma State
2023-02-28,2022-23,6,Georgia
2023-02-28,2022-23,7,South Carolina
2023-02-28,2022-23,8,Baylor
2023-02-28,2022-23,9,Fresno State
2023-02-28,2022-23,10,UC Davis
2023-03-07,2022-23,1,SMU
2023-03-07,2022-23,2,Auburn
2023-03-07,2022-23,3,TCU
2023-03-07,2022-23,4,Texas A&M
2023-03-07,2022-23,5,Oklahoma State
2023-03-07,2022-23,6,Georgia
2023-03-07,2022-23,7,South Carolina
2023-03-07,2022-23,8,Fresno State
2023-03-07,2022-23,9,Baylor
2023-03-07,2022-23,10,UT Martin
2023-03-14,2022-23,1,SMU
2023-03-14,2022-23,2,Auburn
2023-03-14,2022-23,3,TCU
2023-03-14,2022-23,4,Texas A&M
2023-03-14,2022-23,5,Oklahoma State
2023-03-14,2022-23,6,Georgia
2023-03-14,2022-23,7,South Carolina
2023-03-14,2022-23,8,Fresno State
2023-03-14,2022-23,9,Baylor
2023-03-14,2022-23,10,UT Martin
