date,season,rank,school
2018-02-27,2017-18,3,Texas A&M
2018-02-27,2017-18,4,Oklahoma State
2018-02-27,2017-18,5,SMU
2018-02-27,2017-18,6,TCU
2018-02-27,2017-18,7,Baylor
2018-02-27,2017-18,8,UT Martin
2018-02-27,2017-18,9,South Dakota State
2018-02-27,2017-18,10,South Carolina
2018-03-06,2017-18,1,Georgia
2018-03-06,2017-18,2,Auburn
2018-03-06,2017-18,3,Texas A&M
2018-03-06,2017-18,4,Oklahoma State
2018-03-06,2017-18,5,SMU
2018-03-06,2017-18,6,TCU
2018-03-06,2017-18,7,Baylor
2018-03-06,2017-18,8,UT Martin
2018-03-06,2017-18,9,South Dakota State
2018-03-06,2017-18,10,South Carolina
2018-03-13,2017-18,1,Georgia
2018-03-13,2017-18,2,Auburn
2018-03-13,2017-18,3,Oklahoma State
2018-03-13,2017-18,4,Texas A&M
2018-03-13,2017-18,5,TCU
2018-03-13,2017-18,6,SMU
2018-03-13,2017-18,7,Baylor
2018-03-13,2017-18,8,UT Martin
2018-03-13,2017-18,9,South Dakota State
2018-03-13,2017-18,10,South Carolina
2018-03-20,2017-18,1,Georgia
2018-03-20,2017-18,2,Auburn
2018-03-20,2017-18,3,Oklahoma State
2018-03-20,2017-18,4,Texas A&M
2018-03-20,2017-18,5,TCU
2018-03-20,2017-18,6,SMU
2018-03-20,2017-18,7,Baylor
2018-03-20,2017-18,8,UT Martin
2018-03-20,2017-18,9,South Dakota State
2018-03-20,2017-18,10,South Carolina
2018-03-27,2017-18,1,Georgia
2018-03-27,2017-18,2,Auburn
2018-03-27,2017-18,3,Oklahoma State
2018-03-27,2017-18,4,Texas A&M
2018-03-27,2017-18,5,TCU
2018-03-27,2017-18,6,SMU
2018-03-27,2017-18,7,Baylor
2018-03-27,2017-18,8,UT Martin
2018-03-27,2017-18,9,South Dakota State
2018-03-27,2017-18,10,South Carolina
2018-09-12,2018-19,1,Auburn
2018-09-12,2018-19,2,Georgia
2018-09-12,2018-19,3,Texas A&M
2018-09-12,2018-19,4,Oklahoma State
2018-09-12,2018-19,5,TCU
2018-09-12,2018-19,6,SMU
2018-09-12,2018-19,7,Baylor
2018-09-12,2018-19,8,South Carolina
2018-09-12,2018-19,9,Fresno State
2018-09-12,2018-19,10,UT Martin
2018-09-25,2018-19,1,Auburn
2018-09-25,2018-19,2,Georgia
2018-09-25,2018-19,3,Texas A&M
2018-09-25,2018-19,4,Oklahoma State
2018-09-25,2018-19,5,SMU
2018-09-25,2018-19,6,TCU
2018-09-25,2018-19,7,Baylor
2018-09-25,2018-19,8,Fresno State
2018-09-25,2018-19,9,South Carolina
2018-09-25,2018-19,10,South Dakota State
2018-10-02,2018-19,1,Auburn
2018-10-02,2018-19,2,Georgia
2018-10-02,2018-19,3,Texas A&M
2018-10-02,2018-19,4,Baylor
2018-10-02,2018-19,5,SMU
2018-10-02,2018-19,6,TCU
2018-10-02,2018-19,7,Oklahoma State
2018-10-02,2018-19,8,Delaware State
2018-10-02,2018-19,9,Fresno State
2018-10-02,2018-19,10,South Dakota State
2018-10-09,2018-19,1,Auburn
2018-10-09,2018-19,2,Texas A&M
2018-10-09,2018-19,3,Baylor
2018-10-09,2018-19,4,SMU
2018-10-09,2018-19,5,Georgia
2018-10-09,2018-19,6,TCU
2018-10-09,2018-19,7,Oklahoma State
2018-10-09,2018-19,8,South Carolina
2018-10-09,2018-19,9,Delaware State
2018-10-09,2018-19,10,Fresno State
2018-10-16,2018-19,1,Auburn
2018-10-16,2018-19,2,Texas A&M
2018-10-16,2018-19,3,SMU
2018-10-16,2018-19,4,Baylor
2018-10-16,2018-19,5,Oklahoma State
2018-10-16,2018-19,6,TCU
2018-10-16,2018-19,7,South Carolina
2018-10-16,2018-19,8,Delaware State
2018-10-16,2018-19,9,Fresno State
2018-10-16,2018-19,10,Georgia
2018-10-23,2018-19,1,Auburn
2018-10-23,2018-19,2,Texas A&M
2018-10-23,2018-19,3,SMU
2018-10-23,2018-19,4,Baylor
2018-10-23,2018-19,5,TCU
2018-10-23,2018-19,6,South Carolina
2018-10-23,2018-19,7,Georgia
2018-10-23,2018-19,8,Oklahoma State
2018-10-23,2018-19,9,Delaware State
2018-10-23,2018-19,10,Fresno State
2018-10-30,2018-19,1,Auburn
2018-10-30,2018-19,2,Texas A&M
2018-10-30,2018-19,3,SMU
2018-10-30,2018-19,4,Baylor
2018-10-30,2018-19,5,South Carolina
2018-10-30,2018-19,6,TCU
2018-10-30,2018-19,7,Georgia
2018-10-30,2018-19,8,Oklahoma State
2018-10-30,2018-19,9,Delaware State
2018-10-30,2018-19,10,Fresno State
2018-11-06,2018-19,1,Auburn
