Date,Away,Home,Location,Away_Score,Home_Score
2023-10-08,Bridgewater College,Sweet Briar College,"Sweet Briar, Va.",2,8
2023-10-12,South Dakota State,UT Martin,"Martin, Tenn. (Conf.)",5,15
2023-10-13,Auburn,UT Martin,"Martin, Tenn.",11,9
2023-10-13,Oklahoma State,Baylor,"Waco, Texas (Conf.)",10,8
2023-10-13,South Carolina,Georgia,"Athens, GA (Conf.)",4,15
2023-10-14,Oklahoma State,SMU,"Dallas, Texas",7,10
2023-10-14,Lynchburg,Dartmouth College,"Hanover, N.H. / Morton Farm",6,2
2023-10-20,Bridgewater College,Lynchburg,"Lynchburg, VA",1,9
2023-10-20,TCU,Fresno State,"Fresno, CA (Conf.)",15,5
2023-10-20,Georgia,Auburn,"Auburn, AL (Conf.)",8,12
2023-10-21,Texas A&M,Oklahoma State,"Stillwater, Okla.",10,9
2023-10-21,Sweet Briar College,Dartmouth College,"Hanover, N.H. / Morton Farm",4,4
2023-10-22,Sweet Briar College,Sacred Heart,"Norwalk, Conn. (Conf.)",6,2
2023-10-26,Texas A&M,SMU,"Dallas, Texas",9,9
2023-10-27,TCU,UT Martin,"Martin, Tenn.",12,7
2023-10-27,Georgia,TCU,"Martin, Tenn.",7,8
2023-10-27,South Carolina,Auburn,"Auburn, AL (Conf.)",4,14
2023-10-28,Georgia,UT Martin,"Martin, Tenn.",14,5
2023-11-02,Fresno State,Baylor,"Waco, Texas (Conf.)",9,9
2023-11-03,Texas A&M,South Carolina,"Blythewood, S.C. (Conf.)",10,8
2023-11-03,UC Davis,Minnesota-Crookston,"Crookston, MN (Conf.)",19,1
2023-11-03,Lynchburg,Sweet Briar College,"Sweet Briar, Va.",5,5
2023-11-03,Minnesota-Crookston,South Dakota State,"Brookings, S.D. (Conf.)",2,16
2023-11-03,UC Davis,South Dakota State,"Brookings, S.D. (Conf.)",14,4
2023-11-03,Fresno State,Oklahoma State,"Stillwater, OK (Conf.)",7,12
2023-11-03,College of Charleston,South Carolina,"Columbia, SC",2,6
2023-11-04,Bridgewater College,Sacred Heart,"Norwalk, Conn. (Conf.)",2,7
2023-11-05,Bridgewater College,Dartmouth College,"Hanover, N.H. / Morton Farm",2,5
2023-11-10,Baylor,TCU,"Burleson, Texas (Conf.)",6,14
2023-11-10,Auburn,Texas A&M,"College Station, TX (Conf.)",9,11
2023-11-10,University of the SouthSewanee,Sweet Briar College,"Sweet Briar, Va.",1,7
2023-11-11,University of the SouthSewanee,Lynchburg,"Lynchburg, VA",1,5
2023-11-11,Auburn,SMU,"Dallas, Texas",8,12
2023-11-12,Sacred Heart,Dartmouth College,"Hanover, NH (Conf.)",2,6
2023-11-17,Baylor,Delaware State,"Felton, Del. (Conf.)",7,10
2023-11-17,Oklahoma State,South Carolina,"Columbia, SC",8,12
2023-11-17,SMU,Fresno State,"Fresno, CA",9,10
2023-11-18,Oklahoma State,Georgia,"Athens, GA",6,11
2023-11-18,Baylor,UT Martin,"Dover, Del.",7,7
2023-11-18,UT Martin,Delaware State,"Felton, Del. (Conf.)",7,10
2023-11-18,SMU,UC Davis,"Davis, CA",11,9
2023-12-02,Berry College (Ga.),University of the SouthSewanee,"Sewanee, Tenn.",2,6
2022-01-27,Delaware State,TCU,"Fort Worth, Texas",5,14
2022-01-27,UT Martin,SMU,"Dallas, Texas (Conf.)",4,16
2022-01-28,Delaware State,UT Martin,"Dallas, Texas (Conf.)",6,10
2022-01-28,Delaware State,UT Martin,"Dallas, Texas",6,10
2022-01-28,SUNY New Paltz,Auburn,"Auburn, Ala.",1,7
2022-01-28,University of the SouthSewanee,SUNY New Paltz,"Auburn, Ala. (Conf.)",4,3
2022-01-28,University of the SouthSewanee,Auburn,"Auburn, Ala.",0,8
2022-01-29,University of the SouthSewanee,Dartmouth College,"Auburn, Ala. (Conf.)",4,4
2022-01-29,Dartmouth College,SUNY New Paltz,"Auburn, Ala. (Conf.)",3,5
2022-01-29,UT Martin,TCU,"Fort Worth, Texas",3,15
2022-01-29,Delaware State,SMU,"Dallas, Texas (Conf.)",2,16
2022-01-29,Baylor,Texas A&M,"Bryan-College Station, Texas",8,10
2022-01-29,Dartmouth College,Auburn,"Auburn, Ala.",0,8
2022-02-04,Georgia,Sweet Briar College,"Sweet Briar, Va.",7,3
2022-02-05,Auburn,South Carolina,"Blythewood, S.C. (Conf.)",14,4
2022-02-06,Baylor,Oklahoma State,"Stillwater, Okla. (Conf.)",8,11
2022-02-10,TCU,SMU,"Dallas, Texas",9,9
2022-02-11,University of the SouthSewanee,Sweet Briar College,"Sweet Briar, Va.",1,7
2022-02-11,UC Davis,UT Martin,"Martin, Tenn. (Conf.)",8,11
2022-02-11,UC Davis,Oklahoma State,"Martin, Tenn.",5,11
2022-02-12,Delaware State,Ole Miss,"Auburn, Ala.",13,2
2022-02-12,Texas A&M,Georgia,"Bishop, Ga. (Conf.)",9,9
2022-02-12,TCU,Baylor,"Waco, Texas (Conf.)",9,9
2022-02-12,Oklahoma State,UT Martin,"Martin, Tenn.",13,7
2022-02-12,Delaware State,Auburn,"Auburn, AL",4,16
2022-02-13,Sacred Heart,Dartmouth College,"Hanover, N.H. (Conf.)",4,4
2022-02-18,Fresno State,TCU,"Fort Worth, Texas (Conf.)",5,15
2022-02-18,South Carolina,Baylor,"Waco, Texas",5,13
2022-02-18,Georgia,Minnesota-Crookston,"Brookings, S.D.",16,0
2022-02-18,Georgia,South Dakota State,"Brookings, SD",11,8
2022-02-19,Minnesota-Crookston,South Dakota State,"Brookings, S.D. (Conf.)",4,11
2022-02-19,South Carolina,Texas A&M,"Bryan-College Station, Texas (Conf.)",9,10
2022-02-19,Fresno State,Oklahoma State,"Stillwater, Okla. (Conf.)",5,13
2022-02-19,Minnesota-Crookston,Georgia,"Brookings, S.D.",0,16
2022-02-25,SUNY New Paltz,Sweet Briar College,"Sweet Briar, Va. (Conf.)",3,5
2022-02-26,SUNY New Paltz,Lynchburg,"Lynchburg, Va. (Conf.)",2,5
2022-02-26,Oklahoma State,TCU,"Fort Worth, Texas (Conf.)",4,16
2022-02-26,Texas A&M,Auburn,"Auburn, AL (Conf.)",4,13
2022-02-26,UC Davis,Fresno State,"Fresno, Calif.",11,9
2022-02-26,Georgia,South Carolina,"Blythewood, S.C. (Conf.)",9,10
2022-02-26,UC Davis,Fresno State,"Fresno, Calif.",4,15
2022-03-04,Delaware State,South Carolina,"Columbia, S.C.",4,12
2022-03-04,Sweet Briar College,SMU,"Dallas, Texas (Conf.)",3,7
2022-03-04,Baylor,Fresno State,"Fresno, Calif. (Conf.)",6,12
2022-03-04,Auburn,Georgia,"Bishop, Ga. (Conf.)",7,13
2022-03-05,UT Martin,Georgia,"Bishop, Ga.",2,17
2022-03-05,Sweet Briar College,TCU,"Burleson, Texas",1,9
2022-03-05,Texas A&M,SMU,"Dallas, Texas",11,8
2022-03-05,Baylor,UC Davis,"Davis, Calif.",13,7
2022-03-11,South Dakota State,UT Martin,"Martin, Tenn. (Conf.)",6,14
2022-03-11,Bridgewater College,Texas A&M,"Bryan-College Station, Texas",0,8
2022-03-11,Bridgewater College,Oklahoma State,"Bryan-College Station, Texas",1,7
2022-03-11,Minnesota-Crookston,South Dakota State,"Martin, Tenn. (Conf.)",2,16
2022-03-12,Oklahoma State,Texas A&M,Bryan-College Station,9,8
2022-03-12,Minnesota-Crookston,UT Martin,"Martin, Tenn. (Conf.)",1,15
2022-03-12,Fresno State,UC Davis,"Davis, Calif.",9,11
2022-03-12,South Dakota State,Minnesota-Crookston,"Martin, Tenn.",14,2
