"Name","Position","Team","GP","GS","MIN","PTS","OR","DR","REB","AST","STL","BLK","TO","PF","AST/TO","PER","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","2PM","2PA","2P%","SC-EFF","SH-EFF"
"Serge Ibaka","C","lac",35,10,15.4,6.6,1.1,3.1,4.3,1,0.2,0.7,0.9,1.6,1.1,14.91,2.7,5.5,49,0.7,1.8,38.7,0.6,0.8,69,2,3.7,53.8,1.208,0.55
"Xavier Moon","PG","lac",10,0,13.7,5.8,0.2,1.2,1.4,2.4,0.7,0.3,0.6,0.9,4,16.27,2.5,5.1,49,0.5,1.4,35.7,0.3,0.5,60,2,3.7,54.1,1.137,0.54
"Justise Winslow","PF","lac",37,1,13,4.2,0.8,2.8,3.6,1.4,0.6,0.5,1,1.2,1.4,12.45,1.7,3.8,44.7,0.1,0.8,17.2,0.7,1.1,61,1.6,3,51.8,1.106,0.46
"Semi Ojeleye","PF","lac",10,0,9.8,4.1,0.2,1.4,1.6,0.4,0.2,0.1,0.4,0.4,1,12.03,1.2,2.9,41.4,0.4,0.9,44.4,1.3,1.6,81.3,0.8,2,40,1.414,0.48
"Keon Johnson","SG","lac",15,0,9,3.5,0.4,1,1.4,0.9,0.5,0.1,0.5,1.4,1.9,9.39,1.1,3.4,33.3,0.2,0.7,27.3,1.1,1.4,76.2,0.9,2.7,35,1.039,0.36
"Jay Scrubb","SG","lac",18,0,6.7,2.7,0.1,0.8,0.9,0.4,0.2,0.2,0.4,0.5,1.1,9.3,1,2.6,39.1,0.3,1.2,28.6,0.4,0.6,70,0.7,1.4,48,1.065,0.46
"Rodney Hood","SG","lac",13,0,9.8,2.6,0.2,0.6,0.8,0.6,0.2,0.2,0.3,0.3,2,9.33,0.9,2,46.2,0.5,0.8,54.5,0.3,0.4,80,0.5,1.2,40,1.308,0.58
"Wenyen Gabriel","F","lac",6,0,7.7,2.3,0.8,1.5,2.3,0.3,0.2,0.3,0.5,1.8,0.7,8.34,0.8,2.2,38.5,0.3,0.8,40,0.3,0.7,50,0.5,1.3,37.5,1.077,0.46
"Moses Wright","F","lac",1,0,1,0,0,0,0,1,0,0,0,0,Inf,31.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LeBron James","SF","lal",56,56,37.2,30.3,1.1,7.1,8.2,6.2,1.3,1.1,3.5,2.2,1.8,26.25,11.4,21.8,52.4,2.9,8,35.9,4.5,6,75.6,8.6,13.8,62,1.388,0.59
