"Name","Position","Team","GP","GS","MIN","PTS","OR","DR","REB","AST","STL","BLK","TO","PF","AST/TO","PER","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","2PM","2PA","2P%","SC-EFF","SH-EFF"
"Donte DiVincenzo","SG","mil",17,0,20.1,7.2,1.1,2.5,3.5,1.7,0.6,0.2,1.6,1.5,1,7.97,2.3,6.9,33.1,1.2,4.4,28.4,1.4,1.6,85.2,1.1,2.6,40.9,1.034,0.42
"Serge Ibaka","C","mil",19,2,17.8,7,1.2,4.1,5.3,0.7,0.2,0.4,0.5,2.4,1.3,13.77,2.8,5.5,51.9,0.7,1.9,35.1,0.6,0.8,80,2.2,3.5,61.2,1.279,0.58
"George Hill","PG","mil",54,17,23.2,6.2,0.7,2.2,2.9,2.2,0.8,0.1,0.8,1.3,2.9,10.25,2.2,5.1,42.9,0.8,2.5,30.6,1.1,1.1,91.9,1.4,2.6,54.6,1.215,0.5
"Jevon Carter","PG","mil",20,2,17.7,5.6,0.3,1.9,2.2,2.5,0.5,0.2,0.4,1.1,6.3,14.38,2,4,50.6,1.2,2.2,55.8,0.4,0.4,100,0.8,1.8,44.4,1.418,0.66
"Greg Monroe","C","mil",5,0,14,5.4,2.2,2,4.2,0.4,0.6,0.4,0.6,1.4,0.7,16.01,2.2,4.4,50,0,0,0,1,1.8,55.6,2.2,4.4,50,1.227,0.5
"Wesley Matthews","SG","mil",49,14,20.4,5.1,0.6,1.3,1.9,0.7,0.5,0.2,0.4,1.8,2,6.97,1.8,4.5,39.5,1.1,3.2,33.8,0.4,0.6,78.6,0.7,1.3,54,1.132,0.52
"Lindell Wigginton","G","mil",19,0,10.5,4.2,0.2,1.2,1.3,1.2,0.3,0.1,0.6,0.9,1.9,10.25,1.4,3.2,42.6,0.5,1.4,34.6,1,1.8,54.3,0.9,1.8,48.6,1.311,0.5
"Sandro Mamukelashvili","PF","mil",41,3,9.9,3.8,0.9,1.1,2,0.5,0.2,0.2,0.4,0.7,1.5,14.73,1.4,2.8,49.6,0.5,1.3,42.3,0.4,0.5,81.8,0.9,1.5,55.6,1.339,0.59
"Thanasis Antetokounmpo","SF","mil",48,6,9.9,3.6,0.8,1.3,2.1,0.5,0.3,0.3,0.5,1.4,0.8,12.57,1.5,2.7,54.7,0,0.3,14.3,0.6,1,63,1.4,2.4,59.6,1.336,0.55
"Rodney Hood","SG","mil",39,0,14.9,3.3,0.3,1.4,1.7,0.8,0.3,0.1,0.2,0.7,4.3,6.72,1.2,3.4,35.1,0.6,2.1,30,0.3,0.4,92.9,0.6,1.3,43.1,0.985,0.44
"Semi Ojeleye","PF","mil",20,0,15.4,2.9,1.3,1.7,2.9,0.3,0.3,0.3,0.3,1.3,1,4.99,0.9,3.5,25.7,0.6,2.1,26.8,0.5,0.7,76.9,0.4,1.5,24.1,0.814,0.34
"Justin Robinson","F","mil",17,0,11.6,2.8,0.1,0.6,0.8,1.2,0.5,0,0.6,1,1.9,4.32,1.1,3.4,31.6,0.6,2.2,27,0.1,0.1,100,0.5,1.2,40,0.842,0.4
"Javonte Smart","G","mil",13,1,12.3,2.4,0.3,1.2,1.5,1.1,0.3,0.2,0.7,0.8,1.6,2.48,0.8,3.3,25.6,0.3,1.4,22.2,0.4,0.5,83.3,0.5,1.9,28,0.721,0.3
"Georgios Kalaitzakis","SF","mil",9,0,5.3,1.8,0.4,0.4,0.9,0,0.1,0.1,0.4,0.9,0,5.86,0.6,1.2,45.5,0.2,0.4,50,0.4,1,44.4,0.3,0.8,42.9,1.455,0.55
"DeAndre' Bembry","SG","mil",8,0,9.6,0.8,0.5,0.9,1.4,0.8,0.3,0,0.1,1.1,6,4.82,0.4,1,37.5,0,0,0,0,0,0,0.4,1,37.5,0.75,0.38
"Langston Galloway","SG","mil",3,0,16.3,0.7,0.7,2.7,3.3,2.3,0.3,0,0.3,0.7,7,-0.65,0.3,4.3,7.7,0,2.7,0,0,0,0,0.3,1.7,20,0.154,0.08
"Luke Kornet","F","mil",1,0,3,0,1,0,1,0,0,0,0,1,0,-4.99,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"Javin DeLaurier","C","mil",1,0,3,0,0,1,1,0,1,0,0,1,0,15.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jeff Dowtin","G","mil",1,0,3,0,0,0,0,0,0,0,0,0,0,-12.85,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Karl-Anthony Towns","C","min",74,74,33.4,24.6,2.6,7.2,9.8,3.6,1,1.1,3.1,3.6,1.2,24.21,8.7,16.4,52.9,2,4.9,41,5.2,6.3,82.2,6.6,11.5,58,1.498,0.59
"Anthony Edwards","SF","min",72,72,34.3,21.3,0.9,3.9,4.8,3.8,1.5,0.6,2.6,2.3,1.4,16.55,7.6,17.3,44.1,3,8.4,35.7,3.1,3.9,78.6,4.6,8.9,51.9,1.231,0.53
"D'Angelo Russell","PG","min",65,65,32,18.1,0.4,2.9,3.3,7.1,1,0.3,2.5,2,2.8,16.36,6.2,15,41.1,2.7,8,34,3,3.7,82.5,3.5,7,49.2,1.206,0.5
"Malik Beasley","SG","min",79,18,25,12.1,0.3,2.5,2.9,1.5,0.5,0.2,0.5,1.1,2.7,11.91,4.2,10.8,39.1,3,8.1,37.7,0.6,0.8,81.7,1.2,2.7,43.2,1.121,0.53
"Jaden McDaniels","PF","min",70,31,25.8,9.2,1.1,3.1,4.2,1.1,0.7,0.8,1.1,3.2,1.1,10.31,3.6,7.9,46,1.1,3.6,31.7,0.8,1,80.3,2.5,4.3,57.9,1.168,0.53
"Patrick Beverley","PG","min",58,54,25.4,9.2,1.1,3.1,4.1,4.6,1.2,0.9,1.3,3,3.7,14.8,3.1,7.5,40.6,1.4,4.2,34.3,1.7,2.3,72.2,1.6,3.3,48.5,1.222,0.5
"Jaylen Nowell","SG","min",62,1,15.7,8.5,0.4,1.6,2,2.1,0.4,0.2,0.6,1.2,3.6,16.89,3.2,6.7,47.5,1,2.6,39.4,1.2,1.5,78.3,2.1,4.1,52.6,1.276,0.55
"Naz Reid","C","min",77,6,15.8,8.3,1.3,2.6,3.9,0.9,0.5,0.9,1.1,2.2,0.9,17.27,3,6.2,49,0.7,2.2,34.3,1.5,1.9,76.5,2.3,4,56.8,1.338,0.55
"Taurean Prince","PF","min",69,8,17.1,7.3,0.4,2.1,2.5,1,0.7,0.3,0.8,1.7,1.3,12.47,2.6,5.7,45.4,1.2,3.3,37.6,0.9,1.2,75.6,1.3,2.3,56.5,1.287,0.56
"Greg Monroe","C","min",4,0,20.3,7.3,1.5,4.5,6,4,1,1.5,1.8,2.3,2.3,18.93,3.3,5.5,59.1,0,0,0,0.8,1.8,42.9,3.3,5.5,59.1,1.318,0.59
"Jarred Vanderbilt","PF","min",74,67,25.4,6.9,2.9,5.5,8.4,1.3,1.3,0.6,1,2.4,1.3,15.35,2.9,4.9,58.7,0,0.2,14.3,1.2,1.8,65.6,2.8,4.7,60.5,1.418,0.59
"Jordan McLaughlin","PG","min",62,3,14.5,3.8,0.4,1.2,1.5,2.9,0.9,0.2,0.6,0.9,4.7,13.47,1.4,3.2,44,0.4,1.4,31.8,0.5,0.6,75,1,1.9,53,1.165,0.51
"Nathan Knight","F","min",37,2,7.2,3.7,0.9,1.4,2.3,0.6,0.2,0.2,0.5,1.1,1.2,18.72,1.2,2.4,51.1,0.1,0.4,30.8,1.2,1.6,73.3,1.1,2,54.7,1.568,0.53
"Josh Okogie","SF","min",49,6,10.5,2.7,0.6,0.8,1.4,0.5,0.5,0.2,0.5,1.1,1.1,9.04,0.9,2.1,40.4,0.3,1,29.8,0.7,1,68.6,0.6,1.2,49.1,1.279,0.47
"Jake Layman","SF","min",34,1,6.8,2.4,0.2,0.9,1.1,0.3,0.2,0.1,0.3,0.4,0.9,9.07,0.9,2.1,41.1,0.2,1,22.9,0.4,0.5,72.2,0.6,1.1,57.9,1.11,0.47
"Leandro Bolmaro","SG","min",35,2,6.9,1.4,0.5,0.8,1.2,0.6,0.2,0,0.4,0.7,1.6,5.44,0.5,1.5,31.5,0.1,0.5,27.8,0.3,0.4,84.6,0.3,1,33.3,0.926,0.36
"McKinley Wright IV","PG","min",5,0,3.8,1,0,0,0,0.6,0,0,0.2,0.2,3,9.57,0.4,0.6,66.7,0.2,0.4,50,0,0,0,0.2,0.2,100,1.667,0.83
"Chris Silva","F","min",1,0,3,0,0,1,1,0,0,0,0,0,0,3.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CJ McCollum","SG","no",26,26,33.8,24.3,0.7,3.7,4.5,5.8,1.3,0,2.2,1.7,2.7,22.01,9.5,19.2,49.3,2.7,6.9,39.4,2.6,3.9,66.7,6.7,12.3,54.9,1.265,0.56
"Brandon Ingram","SF","no",55,55,34,22.7,0.6,5.2,5.8,5.6,0.6,0.5,2.7,2.2,2,18.78,8.2,17.9,46.1,1.3,4.1,32.7,4.8,5.9,82.6,6.9,13.8,50.1,1.268,0.5
"Jonas Valanciunas","C","no",74,74,30.3,17.8,3.1,8.3,11.4,2.6,0.6,0.8,2.4,3.3,1.1,21.3,6.9,12.7,54.4,0.8,2.1,36.1,3.2,3.9,82,6.1,10.5,58.1,1.401,0.57
"Josh Hart","SG","no",41,40,33.5,13.4,1.3,6.5,7.8,4.1,1.1,0.3,2,2.9,2.1,15.19,4.8,9.4,50.5,1,3.2,32.3,2.8,3.8,75.3,3.7,6.2,59.8,1.42,0.56
"Nickeil Alexander-Walker","SG","no",50,19,26.3,12.8,0.7,2.6,3.3,2.8,0.8,0.4,1.7,1.8,1.6,10.6,4.7,12.6,37.5,1.9,6.1,31.1,1.4,1.9,72.2,2.8,6.5,43.4,1.011,0.45
"Devonte' Graham","PG","no",76,63,28.4,11.9,0.5,1.8,2.3,4.2,0.9,0.2,1.4,1.3,3,12.1,3.9,10.7,36.3,2.5,7.4,34.1,1.6,1.8,84.3,1.4,3.3,41.3,1.107,0.48
"Herbert Jones","SF","no",78,69,29.9,9.5,1.3,2.5,3.8,2.1,1.7,0.8,1.3,3.1,1.7,12.35,3.5,7.4,47.6,0.7,2.2,33.7,1.8,2.1,84,2.8,5.2,53.3,1.288,0.53
"Jaxson Hayes","C","no",70,28,20,9.3,1.6,2.9,4.5,0.6,0.5,0.8,0.8,2.2,0.8,18.56,3.5,5.7,61.6,0.3,0.8,35.1,2.1,2.7,76.6,3.2,4.9,66,1.643,0.64
"Willy Hernangomez","C","no",50,8,16.8,9.1,2.9,3.9,6.8,1.3,0.4,0.4,1,1.9,1.2,22.3,3.4,6.5,52,0.1,0.2,33.3,2.2,2.8,77.3,3.3,6.3,52.7,1.385,0.53
"Jared Harper","G","no",5,0,8.6,7.4,0.4,0,0.4,2.8,0.8,0.2,0.4,1,7,37,2.8,5.2,53.8,1,2.4,41.7,0.8,0.8,100,1.8,2.8,64.3,1.423,0.63
"Larry Nance Jr.","PF","no",9,0,20.2,7.3,1.6,2.8,4.3,0.9,0.6,0.8,1.1,1.9,0.8,14.26,3,5.4,55.1,0.4,0.9,50,0.9,0.9,100,2.6,4.6,56.1,1.347,0.59
"Jose Alvarado","PG","no",54,1,15.4,6.1,0.5,1.4,1.9,2.8,1.3,0.1,0.7,1.4,3.8,16.46,2.4,5.4,44.6,0.6,2,29.1,0.7,1,67.9,1.8,3.4,53.8,1.122,0.5
"Kira Lewis Jr.","PG","no",24,0,14.2,5.9,0.4,1.3,1.6,2,0.5,0,1.1,0.7,1.9,9.83,2.5,6.1,40.4,0.5,2.4,22.4,0.4,0.5,83.3,1.9,3.7,52.3,0.966,0.45
"Tony Snell","SF","no",15,2,18.5,5.9,0.3,1.7,2.1,0.5,0.5,0.1,0.5,1.7,1,8.62,2.2,4.9,44.6,1.4,3.5,39.6,0.1,0.1,100,0.8,1.4,57.1,1.189,0.59
"Naji Marshall","SF","no",55,4,13.4,5.7,0.7,1.9,2.6,1.1,0.6,0.1,0.8,1.3,1.3,12.33,2,4.9,40.5,0.4,1.9,20,1.3,1.7,79.6,1.6,3,53.7,1.164,0.44
"Trey Murphy III","SG","no",62,1,13.9,5.4,0.8,1.6,2.4,0.6,0.4,0.1,0.3,1,2.4,12.53,1.8,4.5,39.3,1.1,3,38.2,0.7,0.8,88.2,0.6,1.5,41.8,1.206,0.52
"Garrett Temple","SF","no",59,16,18.6,5.2,0.5,1.9,2.4,1.3,0.7,0.4,0.7,1.4,1.8,8.67,1.9,5,37.6,1,3.1,31.9,0.5,0.7,68.3,0.9,1.9,47.3,1.047,0.48
"Tyrone Wallace","G","no",6,0,12.5,2.8,0,1.3,1.3,0.2,0.5,0.2,0.3,1.2,0.5,2.57,1.2,3.3,35,0.3,1.3,25,0.2,0.8,20,0.8,2,41.7,0.85,0.4
"Tomas Satoransky","SG","no",32,3,15,2.8,0.6,1.4,2,2.4,0.4,0,0.7,1,3.3,6.51,1,3.3,29.9,0.2,1,16.1,0.6,0.8,76,0.8,2.4,35.5,0.822,0.32
"Gary Clark","F","no",38,1,9.9,2.7,0.6,1.8,2.4,0.5,0.3,0.2,0.3,0.5,1.8,11.42,0.9,2.3,37.5,0.7,1.8,40,0.2,0.3,70,0.1,0.5,27.8,1.148,0.53
"Alize Johnson","F","no",4,0,7,2.3,1.8,1.5,3.3,0.3,0.5,0,0.3,0.8,1,15.93,0.8,2.5,30,0,0,0,0.8,1,75,0.8,2.5,30,0.9,0.3
"Didi Louzada","SF","no",2,0,3.5,0,1,0,1,0.5,0,0,0,0,Inf,-1.17,0,1.5,0,0,1.5,0,0,0,0,0,0,0,0,0
"Julius Randle","PF","ny",72,72,35.3,20.1,1.7,8.2,9.9,5.1,0.7,0.5,3.4,2.8,1.5,15.8,7.1,17.3,41.1,1.7,5.4,30.8,4.2,5.6,75.6,5.4,11.9,45.8,1.161,0.46
"RJ Barrett","SG","ny",70,70,34.5,20,0.9,4.9,5.8,3,0.6,0.2,2.2,2,1.4,13.72,7,17.1,40.8,2,5.8,34.2,4.1,5.8,71.4,5,11.3,44.2,1.174,0.47
"Evan Fournier","SG","ny",80,80,29.5,14.1,0.4,2.2,2.6,2.1,1,0.3,1.3,2.3,1.6,12.34,5,12.1,41.7,3,7.7,38.9,1,1.4,70.8,2,4.3,46.5,1.166,0.54
"Derrick Rose","PG","ny",26,4,24.5,12,0.8,2.2,3,4,0.8,0.5,1.5,0.6,2.6,16.93,4.7,10.5,44.5,1.4,3.5,40.2,1.2,1.2,96.8,3.3,7,46.7,1.135,0.51
"Alec Burks","SG","ny",81,44,28.6,11.7,0.6,4.3,4.9,3,1,0.3,1.1,2.7,2.6,13.72,3.5,9,39.1,1.9,4.8,40.4,2.7,3.3,82.2,1.6,4.2,37.8,1.297,0.5
"Kemba Walker","PG","ny",37,37,25.6,11.6,0.4,2.6,3,3.5,0.7,0.2,1.3,1,2.7,13.96,4,10,40.3,2,5.4,36.7,1.6,1.9,84.5,2.1,4.6,44.4,1.165,0.5
"Immanuel Quickley","SG","ny",78,3,23.1,11.3,0.4,2.8,3.2,3.5,0.7,0,1.3,2.1,2.8,14.59,3.6,9.3,39.2,1.8,5.1,34.6,2.3,2.6,88.1,1.9,4.2,44.8,1.218,0.49
"Obi Toppin","PF","ny",72,10,17.1,9,1,2.8,3.7,1.1,0.3,0.5,0.8,1.4,1.4,18.4,3.5,6.6,53.1,0.7,2.3,30.8,1.3,1.7,75.8,2.8,4.2,65.5,1.37,0.59
"Mitchell Robinson","C","ny",72,62,25.7,8.5,4.1,4.5,8.6,0.5,0.8,1.8,0.8,2.7,0.6,20.78,3.6,4.8,76.1,0,0,0,1.2,2.5,48.6,3.6,4.8,76.1,1.778,0.76
"Cam Reddish","SF","ny",15,0,14.4,6.1,0.3,1.1,1.4,0.7,0.8,0.3,0.9,1,0.8,12.83,1.8,4.3,41.5,0.5,2.1,25.8,1.9,2.1,90.6,1.3,2.3,55.9,1.4,0.48
"Quentin Grimes","SG","ny",46,6,17.1,6,0.5,1.5,2,1,0.7,0.2,0.6,1.6,1.6,10.77,2.1,5.1,40.4,1.6,4.1,38.1,0.3,0.4,68.4,0.5,1,50,1.17,0.56
"Taj Gibson","F","ny",52,4,18.2,4.4,1.7,2.7,4.4,0.6,0.4,0.8,0.5,2.6,1.2,12.03,1.7,3.2,51.8,0.3,0.7,39.5,0.8,1,80.8,1.4,2.5,55.5,1.38,0.56
"Kevin Knox II","F","ny",13,0,8.5,3.6,0.6,1.1,1.7,0.2,0.2,0.1,0.4,0.4,0.6,11.66,1.2,3.1,37.5,0.8,2.2,35.7,0.5,0.8,70,0.4,0.9,41.7,1.175,0.5
"Nerlens Noel","C","ny",25,11,22.5,3.4,1.9,3.7,5.6,0.9,1.2,1.2,0.8,2.7,1.2,11.81,1.3,2.4,53.3,0,0.1,0,0.8,1.2,70,1.3,2.3,56.1,1.417,0.53
"Miles McBride","PG","ny",40,2,9.3,2.2,0.1,1,1.1,1,0.4,0,0.1,1.1,8.2,6.17,0.8,2.7,29.6,0.4,1.7,25,0.2,0.3,66.7,0.4,1,37.5,0.824,0.38
"Jericho Sims","PF","ny",41,5,13.5,2.2,1.5,2.6,4.1,0.5,0.3,0.5,0.5,1.6,1.1,11.65,1,1.3,72.2,0,0,0,0.3,0.7,41.4,1,1.3,72.2,1.667,0.72
"Damyean Dotson","SG","ny",2,0,10.5,2,0,1,1,0.5,0,0,0,0,Inf,6.39,1,2,50,0,0.5,0,0,0,0,1,1.5,66.7,1,0.5
"Wayne Selden","F","ny",3,0,6.3,1.7,0,0.3,0.3,0.3,0,0,0,0.3,Inf,4.27,0.3,1.3,25,0.3,0.7,50,0.7,1.3,50,0,0.7,0,1.25,0.38
"Ryan Arcidiacono","G","ny",10,0,7.6,1.6,0,0.8,0.8,0.4,0.1,0,0.3,0.5,1.3,6.14,0.6,1.2,50,0.4,0.9,44.4,0,0,0,0.2,0.3,66.7,1.333,0.67
"Danuel House Jr.","SF","ny",1,0,3,0,0,0,0,0,0,0,0,0,0,-13.35,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Matt Mooney","SG","ny",1,0,2,0,0,0,0,0,1,0,1,0,0,-20.03,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Tyler Hall","G","ny",1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feron Hunt","F","ny",2,0,4,0,0.5,0,0.5,0.5,0.5,0,0.5,0.5,1,-2.98,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"Shai Gilgeous-Alexander","PG","okc",56,56,34.7,24.5,0.7,4.3,5,5.9,1.3,0.8,2.8,2.5,2.1,20.99,8.5,18.8,45.3,1.6,5.3,30,5.9,7.2,81,6.9,13.5,51.4,1.303,0.5
"Georgios Kalaitzakis","SF","okc",4,4,41.5,17.5,0.5,2.8,3.3,3,2.5,0.3,4,2.8,0.8,9.4,6.5,14,46.4,2,5.5,36.4,2.5,5.3,47.6,4.5,8.5,52.9,1.25,0.54
"Luguentz Dort","SF","okc",51,51,32.6,17.2,0.7,3.4,4.2,1.7,0.9,0.4,1.7,2.9,1,12.31,5.7,14.2,40.4,2.5,7.7,33.2,3.2,3.7,84.3,3.2,6.6,48.7,1.208,0.49
"Jaylen Hoard","F","okc",7,5,34.3,14.7,4.3,7.7,12,2.4,0.9,0.7,1.1,2,2.1,18.05,6.3,12.9,48.9,1.3,3.6,36,0.9,2,42.9,5,9.3,53.8,1.144,0.54
"Josh Giddey","SG","okc",54,54,31.5,12.5,1.8,6,7.8,6.4,0.9,0.4,3.2,1.6,2,13.34,5.2,12.4,41.9,1,3.9,26.3,1,1.5,70.9,4.2,8.5,49.2,1.006,0.46
"Zavier Simpson","G","okc",4,4,43.5,11,0.5,4.8,5.3,7.5,1.3,1,2.5,3.8,3,7.71,4.8,13,36.5,0.3,2,12.5,1.3,1.3,100,4.5,11,40.9,0.846,0.38
"Darius Bazley","PF","okc",69,53,27.9,10.8,1,5.3,6.3,1.4,0.8,1,1.3,1,1.1,12.62,4,9.4,42.2,1.2,3.9,29.7,1.7,2.5,68.8,2.8,5.5,51.1,1.148,0.48
"Melvin Frazier Jr.","G","okc",3,0,40,10.7,1.7,2.7,4.3,0.3,0.3,0,1,2.7,0.3,-0.41,4.3,16,27.1,0.3,7,4.8,1.7,2.3,71.4,4,9,44.4,0.667,0.28
"Tre Mann","PG","okc",60,26,22.8,10.4,0.4,2.4,2.9,1.5,0.8,0.2,1.2,1.7,1.3,10.29,3.9,9.8,39.3,1.6,4.5,36,1.1,1.4,79.3,2.2,5.3,42.1,1.063,0.48
"Isaiah Roby","PF","okc",45,28,21.1,10.1,1.7,3.2,4.8,1.6,0.8,0.8,1,2.4,1.7,18.35,3.7,7.2,51.4,1,2.2,44.4,1.7,2.6,67.2,2.7,5,54.5,1.406,0.58
"Aaron Wiggins","SG","okc",50,35,24.2,8.3,1,2.5,3.6,1.4,0.6,0.2,1.1,1.9,1.3,10.29,3.1,6.7,46.3,0.8,2.8,30.4,1.2,1.7,72.9,2.3,4,57.3,1.234,0.53
"Mike Muscala","C","okc",43,0,13.8,8,0.5,2.5,3,0.5,0.4,0.6,0.3,1.3,1.6,19.67,2.6,5.8,45.6,1.6,3.8,42.9,1.1,1.3,84.2,1,2,50.6,1.387,0.6
"Lindy Waters III","F","okc",25,1,18.6,8,0.2,2.7,2.9,1,0.8,0.3,0.4,1.2,2.2,13.01,2.8,7,40.6,2.1,5.8,36.3,0.2,0.2,80,0.7,1.2,62.1,1.137,0.56
"Aleksej Pokusevski","C","okc",61,12,20.2,7.6,1.2,4,5.2,2.1,0.6,0.6,1.5,1.4,1.4,12,3,7.5,40.8,0.9,3.2,28.9,0.6,0.8,70,2.1,4.2,49.8,1.018,0.47
"Jeremiah Robinson-Earl","PF","okc",49,36,22.2,7.5,1.5,4.1,5.6,1,0.6,0.3,0.8,1.5,1.3,11.74,2.7,6.6,41.4,1.2,3.4,35.2,0.8,1.1,74.1,1.6,3.2,47.8,1.13,0.5
"Kenrich Williams","SF","okc",49,0,21.9,7.4,1.5,3,4.5,2.2,0.9,0.2,0.9,1.7,2.3,13.36,3,6.5,46.1,0.8,2.5,33.9,0.6,1.1,54.5,2.1,4,53.6,1.145,0.53
"Ty Jerome","SG","okc",48,4,16.7,7.1,0.4,1.2,1.6,2.3,0.6,0.1,0.8,1.5,2.9,11.34,2.6,6.8,37.8,1.1,3.9,29,0.8,1,80.9,1.5,3,49.3,1.037,0.46
"Theo Maledon","PG","okc",51,7,17.8,7.1,0.4,2.2,2.6,2.2,0.6,0.2,1.3,1.3,1.7,10.6,2.3,6.2,37.5,0.9,2.9,29.3,1.5,2,79,1.5,3.3,44.9,1.139,0.44
"Olivier Sarr","C","okc",22,2,19.1,7,1.5,2.7,4.2,0.9,0.3,0.7,1,2.4,0.9,14.04,2.6,4.6,57.4,0.6,1.3,44.8,1.1,1.3,82.8,2,3.3,62.5,1.515,0.64
"Vit Krejci","G","okc",30,8,23,6.2,0.6,2.8,3.4,1.9,0.6,0.3,1,2.2,2,8.52,2.3,5.6,40.7,1.1,3.3,32.7,0.6,0.7,86.4,1.2,2.3,52.2,1.12,0.5
"Derrick Favors","C","okc",39,18,16.7,5.3,1.5,3.2,4.7,0.6,0.4,0.3,0.2,1.6,2.8,13.61,2.4,4.7,51.6,0.1,0.4,12.5,0.4,0.6,64,2.4,4.3,55.4,1.132,0.52
"Mamadi Diakite","PF","okc",13,3,14.5,4.3,1.3,3.2,4.5,0.2,0.4,0.7,0.5,2.5,0.3,11.68,1.9,3.6,53.2,0,0.4,0,0.5,0.8,54.5,1.9,3.2,59.5,1.191,0.53
"Scotty Hopson","G","okc",1,0,18,4,0,1,1,1,0,0,2,1,0.5,0.12,2,4,50,0,1,0,0,0,0,2,3,66.7,1,0.5
"Paul Watson","SG","okc",9,3,17.3,3.4,0.3,2.7,3,0.9,0.3,0.3,0.4,1.1,2,5.72,1.3,3.9,34.3,0.7,2.9,23.1,0.1,0.2,50,0.7,1,66.7,0.886,0.43
"Gabriel Deck","SF","okc",7,0,8,2.6,0.1,0.7,0.9,0.7,0.1,0,0.3,0.3,2.5,11.57,1.1,2,57.1,0.3,0.6,50,0,0,0,0.9,1.4,60,1.286,0.64
"Rob Edwards","G","okc",2,0,5.5,1.5,0,1.5,1.5,0,0,0,0.5,0,0,-0.82,0.5,2,25,0.5,2,25,0,0,0,0,0,0,0.75,0.38
"Cole Anthony","PG","orl",65,65,31.7,16.3,0.5,4.9,5.4,5.7,0.7,0.3,2.6,2.6,2.2,13.55,5.5,14,39.1,2,6,33.8,3.3,3.9,85.4,3.5,8,43.2,1.164,0.46
"Franz Wagner","SF","orl",79,79,30.7,15.2,1.1,3.4,4.5,2.9,0.9,0.4,1.5,2.1,1.9,14.75,5.8,12.3,46.8,1.2,3.4,35.4,2.4,2.8,86.3,4.6,8.9,51.1,1.228,0.52
"Wendell Carter Jr.","C","orl",62,61,29.9,15,2.2,8.2,10.5,2.8,0.6,0.7,1.9,2.7,1.5,18.41,5.8,11,52.5,1.1,3.5,32.7,2.3,3.3,69.1,4.7,7.6,61.5,1.361,0.58
"Jalen Suggs","SG","orl",48,45,27.2,11.8,0.5,3,3.6,4.4,1.2,0.4,3,3,1.5,8.66,4.1,11.4,36.1,0.9,4.1,21.4,2.6,3.4,77.3,3.3,7.3,44.3,1.029,0.4
"Gary Harris","SG","orl",61,30,28.4,11.1,0.6,1.4,2,1.8,1,0.1,1,1.8,1.8,10.89,3.9,9.1,43.4,1.9,5,38.4,1.4,1.6,87.4,2,4.1,49.4,1.228,0.54
"Markelle Fultz","PG","orl",18,3,20,10.8,0.2,2.5,2.7,5.5,1.1,0.3,2.2,1.2,2.5,17.75,4.6,9.7,47.4,0.2,0.9,23.5,1.4,1.7,80.6,4.4,8.8,50,1.114,0.49
"Mo Bamba","C","orl",71,69,25.7,10.6,2.1,6,8.1,1.2,0.5,1.7,1.1,2.6,1.1,16.5,4.2,8.7,48,1.5,4,38.1,0.8,1,78.1,2.7,4.7,56.3,1.225,0.57
"Devin Cannady","G","orl",5,0,29,10,0.2,1,1.2,2,1,0.6,1,1.8,2,8.66,3,8.8,34.1,3,7.4,40.5,1,1.4,71.4,0,1.4,0,1.136,0.51
"Terrence Ross","SG","orl",63,0,23,10,0.3,2.2,2.6,1.8,0.4,0.2,1.2,1.1,1.5,10.07,3.5,8.8,39.7,1.2,4.2,29.2,1.8,2.1,86.2,2.3,4.6,49.3,1.135,0.47
"Moritz Wagner","C","orl",63,3,15.2,9,0.7,3,3.7,1.4,0.3,0.2,0.9,2,1.6,18.13,3.1,6.3,49.7,1,3.2,32.8,1.7,2,80.6,2.1,3.1,67.2,1.424,0.58
"Chuma Okeke","PF","orl",70,20,25,8.6,0.7,4.3,5,1.7,1.4,0.6,0.8,1.4,2.1,12.08,3.1,8.2,37.6,1.7,5.3,31.8,0.8,0.9,84.6,1.4,2.9,48,1.052,0.48
"R.J. Hampton","PG","orl",64,14,21.9,7.6,0.4,2.7,3,2.5,0.7,0.2,1.4,1.6,1.8,8.56,2.7,7.1,38.3,1,2.9,35,1.2,1.8,64.1,1.7,4.3,40.5,1.07,0.45
"Robin Lopez","C","orl",36,9,17,7.1,1.9,1.6,3.5,1.5,0.1,0.5,1.2,1.9,1.2,13.73,3.1,5.5,55.3,0.1,0.2,33.3,0.9,1.5,59.3,3,5.4,56,1.276,0.56
"BJ Johnson","F","orl",4,0,16.3,6.5,1.5,2.3,3.8,0,0,0.3,0,1,0,12.15,2.8,6.3,44,1,2.5,40,0,0,0,1.8,3.8,46.7,1.04,0.52
