"date","event","arena","city","result","result_type","ref1","ref1_score","ref2","ref2_score","ref3","ref3_score"
"December 16, 1995","UU 95: Ultimate Ultimate 95","Mammoth Gardens","Denver, Colorado, USA","Severn def. Taktarov","Unanimous","DEPASQUALE JR.","1 - 0","HART JR.","1 - 0","LITTLE","1 - 0"
"December 16, 1995","UU 95: Ultimate Ultimate 95","Mammoth Gardens","Denver, Colorado, USA","Taktarov def. Ruas","Unanimous","DEPASQUALE JR.","1 - 0","HART JR.","1 - 0","LITTLE","1 - 0"
"December 16, 1995","UU 95: Ultimate Ultimate 95","Mammoth Gardens","Denver, Colorado, USA","Severn def. Abbott","Unanimous","DEPASQUALE JR.","1 - 0","HART JR.","1 - 0","LITTLE","1 - 0"
"September 08, 1995","UFC 7: The Brawl in Buffalo","Buffalo Memorial Auditorium","Buffalo, New York, USA","Shamrock drew with Taktarov","Time Limit",NA,"NANA",NA,"NANA",NA,"NANA"
"April 07, 1995","UFC 5: The Return of the Beast","Independence Arena","Charlotte, North Carolina, USA","Shamrock drew with Gracie","Time Limit",NA,"NANA",NA,"NANA",NA,"NANA"
"September 20, 1996","UFC 11: The Proving Ground","Augusta Civic Center","Augusta, Georgia, USA","Ferrozzo def. Abbott","Unanimous","HART JR.","1 - 0","NEKLIA","1 - 0","SHEARER","1 - 0"
"September 20, 1996","UFC 11: The Proving Ground","Augusta Civic Center","Augusta, Georgia, USA","Bohlander def. Gurgel","Unanimous","HART JR.","1 - 0","NEKLIA","1 - 0","SHEARER","1 - 0"
"July 12, 1996","UFC 10: The Tournament","Fair Park Arena","Birmingham, Alabama, USA","Adkins def. Mitchell","Unanimous","DENNY","1 - 0","DEPASQUALE JR.","1 - 0","NEKLIA","1 - 0"
"May 17, 1996","UFC 9: Motor City Madness","Cobo Arena","Detroit, Michigan, USA","Severn def. Shamrock","Split","CAMPBELL","1 - 0","FERGUSON","0 - 1","NEKLIA","1 - 0"
"February 16, 1996","UFC 8: David vs. Goliath","Coliseo Rubén Rodríguez","San Juan, Puerto Rico","Varelans def. Moreira","Unanimous","CASILLAS","1 - 0","QUADROS","1 - 0","YOUNG","1 - 0"
"December 21, 1997","UFC Japan: Ultimate Japan 1","Yokohama Arena","Yokohama, Japan","Couture def. Smith","Majority","FUKASE","1 - 0","HAMILTON","1 - 0","PERETTI","1 - 1"
"December 21, 1997","UFC Japan: Ultimate Japan 1","Yokohama Arena","Yokohama, Japan","Abbott def. Anjo","Unanimous","FUKASE","1 - 0","HAMILTON","1 - 0","PERETTI","1 - 0"
"October 17, 1997","UFC 15: Collision Course","Casino Magic Bay St. Louis","Bay St. Louis, Mississippi, USA","Beneteau def. Barreto","Unanimous","DEPASQUALE JR.","1 - 0","MULLEN","1 - 0","SANTELLA","1 - 0"
"October 17, 1997","UFC 15: Collision Course","Casino Magic Bay St. Louis","Bay St. Louis, Mississippi, USA","Hunter def. Moskowitz","Split","DEPASQUALE JR.","1 - 0","MULLEN","0 - 1","SANTELLA","1 - 0"
"July 27, 1997","UFC 14: Showdown","Boutwell Auditorium","Birmingham, Alabama, USA","Smith def. Coleman","Unanimous","DEPASQUALE JR.","1 - 0","MULLEN","1 - 0","PLOTT","1 - 0"
"July 27, 1997","UFC 14: Showdown","Boutwell Auditorium","Birmingham, Alabama, USA","Moreira def. Vaulin","Unanimous","DEPASQUALE JR.","1 - 0","MULLEN","1 - 0","PLOTT","1 - 0"
"May 30, 1997","UFC 13: The Ultimate Force","Augusta Civic Center","Augusta, Georgia, USA","Mezger def. Leninger","Unanimous","DEPASQUALE JR.","1 - 0","SANTELLA","1 - 0","SHEARER","1 - 0"
"February 07, 1997","UFC 12: Judgement Day","Dothan Civic Center","Dothan, Alabama, USA","Takahashi def. Ismail","Unanimous","DEPASQUALE JR.","1 - 0","MULLEN","1 - 0","SHEARER","1 - 0"
"October 16, 1998","UFC Brazil: Ultimate Brazil","Ginásio da Portuguesa","Sao Paulo, Brazil","Miletich def. Burnett","Split","FABRIKANT","0 - 0","MULLEN","0 - 0","PEREIRA","0 - 0"
"October 16, 1998","UFC Brazil: Ultimate Brazil","Ginásio da Portuguesa","Sao Paulo, Brazil","Kohsaka def. Williams","Unanimous","FABRIKANT","1 - 0","MULLEN","1 - 0","PEREIRA","1 - 0"
"May 15, 1998","UFC 17: Redemption","Mobile Civic Center","Mobile, Alabama, USA","Henderson def. Newton","Split","DEPASQUALE JR.","1 - 0","LEBELL","0 - 1","MULLINAX","1 - 0"
"May 15, 1998","UFC 17: Redemption","Mobile Civic Center","Mobile, Alabama, USA","Henderson def. Goes","Unanimous","DEPASQUALE JR.","1 - 0","LEBELL","1 - 0","MULLINAX","1 - 0"
"May 15, 1998","UFC 17: Redemption","Mobile Civic Center","Mobile, Alabama, USA","Liddell def. Hernandez","Unanimous","DEPASQUALE JR.","1 - 0","LEBELL","1 - 0","MULLINAX","1 - 0"
"March 13, 1998","UFC 16: Battle in the Bayou","Pontchartrain Center","New Orleans, Louisiana, USA","Kohsaka def. Leopoldo","Unanimous","DEPASQUALE JR.","1 - 0","MULLEN","1 - 0","MULLINAX","1 - 0"
"March 13, 1998","UFC 16: Battle in the Bayou","Pontchartrain Center","New Orleans, Louisiana, USA","Miletich def. Saunders","Split","DEPASQUALE JR.","0 - 1","MULLEN","1 - 0","MULLINAX","1 - 0"
"November 19, 1999","UFC 23: Ultimate Japan 2","Tokyo Bay NK Hall","Chiba, Japan","Randleman def. Williams","Unanimous","FUKASE","1 - 0","MORIYAMA","1 - 0","UMEKI","1 - 0"
"November 19, 1999","UFC 23: Ultimate Japan 2","Tokyo Bay NK Hall","Chiba, Japan","Yamamoto def. Takase","Unanimous","FUKASE","1 - 0","MORIYAMA","1 - 0","UMEKI","1 - 0"
"September 24, 1999","UFC 22: There Can Only Be One Champion","Lake Charles Civic Center","Lake Charles, Louisiana, USA","Lajcik drew with Waterman","Unknown","HALL","0 - 0","MULLEN","0 - 0","PREJEAN","0 - 0"
"September 24, 1999","UFC 22: There Can Only Be One Champion","Lake Charles Civic Center","Lake Charles, Louisiana, USA","Hughes def. Ignatov","Unanimous","HALL","1 - 0","MULLEN","1 - 0","PREJEAN","1 - 0"
"September 24, 1999","UFC 22: There Can Only Be One Champion","Lake Charles Civic Center","Lake Charles, Louisiana, USA","Pulver drew with Alcarez","Unknown","HALL","0 - 0","MULLEN","0 - 0","PREJEAN","0 - 0"
"July 16, 1999","UFC 21: Return of the Champions","Five Seasons Events Center","Cedar Rapids, Iowa, USA","Fulton def. Dodd","Unanimous","KOLLAR","1 - 0","LETULI","1 - 0","MULLINAX","1 - 0"
"May 07, 1999","UFC 20: Battle for the Gold","Boutwell Auditorium","Birmingham, Alabama, USA","Rutten def. Randleman","Split","CATALFO","0 - 1","HALL","1 - 0","MIRAGLIOTTA","1 - 0"
"March 05, 1999","UFC 19: Ultimate Young Guns","Casino Magic Bay St. Louis","Bay St. Louis, Mississippi, USA","Randleman def. Smith","Unanimous","ANCONA","1 - 0","MIRAGLIOTTA","1 - 0","MULLEN","1 - 0"
"January 08, 1999","UFC 18: Road to the Heavyweight Title","Pontchartrain Center","New Orleans, Louisiana, USA","Miletich def. Patino","Unanimous","CATALFO","1 - 0","GOLDMAN","1 - 0","MELTZER","1 - 0"
"January 08, 1999","UFC 18: Road to the Heavyweight Title","Pontchartrain Center","New Orleans, Louisiana, USA","Rizzo def. Coleman","Split","CATALFO","0 - 1","GOLDMAN","1 - 0","MELTZER","1 - 0"
"January 08, 1999","UFC 18: Road to the Heavyweight Title","Pontchartrain Center","New Orleans, Louisiana, USA","Burnett def. Saunders","Unanimous","CATALFO","1 - 0","GOLDMAN","1 - 0","MELTZER","1 - 0"
"December 16, 2000","UFC 29: Defense of the Belts","Differ Ariake Arena","Tokyo, Japan","Liddell def. Monson","Unanimous","NISHI","1 - 0","THOMPSON","1 - 0","UMEKI","1 - 0"
"November 17, 2000","UFC 28: High Stakes","Trump Taj Mahal Casino Resort","Atlantic City, New Jersey, USA","Sobral def. Smith","Majority","CROSBY","0 - 0","LEBELL","0 - 0","MULLINAX","0 - 0"
"November 17, 2000","UFC 28: High Stakes","Trump Taj Mahal Casino Resort","Atlantic City, New Jersey, USA","Hughes def. Stiebling","Unanimous","CROSBY","1 - 0","LEBELL","1 - 0","MULLINAX","1 - 0"
"November 17, 2000","UFC 28: High Stakes","Trump Taj Mahal Casino Resort","Atlantic City, New Jersey, USA","Earwood def. Lytle","Unanimous","CROSBY","1 - 0","LEBELL","1 - 0","MULLINAX","1 - 0"
"September 22, 2000","UFC 27: Ultimate Bad Boyz","Lakefront Arena","New Orleans, Louisiana, USA","Smith def. Hoffman","Majority","ANCONA","0 - 0","MULLEN","0 - 0","ROY","0 - 0"
"September 22, 2000","UFC 27: Ultimate Bad Boyz","Lakefront Arena","New Orleans, Louisiana, USA","Freeman def. Williams","Unanimous","ANCONA","1 - 0","MULLEN","1 - 0","ROY","1 - 0"
"September 22, 2000","UFC 27: Ultimate Bad Boyz","Lakefront Arena","New Orleans, Louisiana, USA","Monson def. Lajcik","Unanimous","ANCONA","1 - 0","MULLEN","1 - 0","ROY","1 - 0"
"September 22, 2000","UFC 27: Ultimate Bad Boyz","Lakefront Arena","New Orleans, Louisiana, USA","Gumm drew with Fernandes","Unknown","ANCONA","0 - 0","MULLEN","0 - 0","ROY","0 - 0"
"June 09, 2000","UFC 26: Ultimate Field of Dreams","Five Seasons Events Center","Cedar Rapids, Iowa, USA","Randleman def. Rizzo","Unanimous","MULLEN","1 - 0","MULLINAX","1 - 0","ZBILSKI","1 - 0"
"June 09, 2000","UFC 26: Ultimate Field of Dreams","Five Seasons Events Center","Cedar Rapids, Iowa, USA","Roberts def. Dodd","Unanimous","MULLEN","1 - 0","MULLINAX","1 - 0","ZBILSKI","1 - 0"
"June 09, 2000","UFC 26: Ultimate Field of Dreams","Five Seasons Events Center","Cedar Rapids, Iowa, USA","Pulver def. Roque","Unanimous","MULLEN","1 - 0","MULLINAX","1 - 0","ZBILSKI","1 - 0"
"June 09, 2000","UFC 26: Ultimate Field of Dreams","Five Seasons Events Center","Cedar Rapids, Iowa, USA","Carter def. Serrano","Unanimous","MULLEN","1 - 0","MULLINAX","1 - 0","ZBILSKI","1 - 0"
"April 14, 2000","UFC 25: Ultimate Japan 3","Yoyogi National Gymnasium","Tokyo, Japan","Ortiz def. Silva","Unanimous","NISHI","1 - 0","SAMEJIMA","1 - 0","UMEKI","1 - 0"
"April 14, 2000","UFC 25: Ultimate Japan 3","Yoyogi National Gymnasium","Tokyo, Japan","Waterman def. Honma","Unanimous","MULLINAX","1 - 0","NISHI","1 - 0","UMEKI","1 - 0"
"April 14, 2000","UFC 25: Ultimate Japan 3","Yoyogi National Gymnasium","Tokyo, Japan","Clark def. Oishi","Majority","MULLINAX","1 - 0","SAMEJIMA","1 - 1","UMEKI","1 - 0"
"March 10, 2000","UFC 24: First Defense","Lake Charles Civic Center","Lake Charles, Louisiana, USA","Menne def. Iha","Unanimous","HALL","1 - 0","MULLEN","1 - 0","PREJEAN","1 - 0"
"March 10, 2000","UFC 24: First Defense","Lake Charles Civic Center","Lake Charles, Louisiana, USA","Carter def. Gumm","Unanimous","HALL","1 - 0","MULLEN","1 - 0","PREJEAN","1 - 0"
"November 02, 2001","UFC 34: High Voltage","MGM Grand Arena","Las Vegas, Nevada, USA","Lindland def. Baroni","Majority","HAMILTON","29 - 28","PEOPLES","29 - 27","ROSALES","28 - 28"
"September 28, 2001","UFC 33: Victory in Vegas","Mandalay Bay Events Center","Las Vegas, Nevada, USA","Ortiz def. Matyushenko","Unanimous","CROSBY","50 - 43","HAMILTON","50 - 44","MULLEN","50 - 44"
"September 28, 2001","UFC 33: Victory in Vegas","Mandalay Bay Events Center","Las Vegas, Nevada, USA","Pulver def. Hallman","Unanimous","CROSBY","49 - 47","MULLEN","48 - 47","PEOPLES","48 - 47"
"September 28, 2001","UFC 33: Victory in Vegas","Mandalay Bay Events Center","Las Vegas, Nevada, USA","Liddell def. Bustamante","Unanimous","CROSBY","29 - 28","SCHORLE","29 - 27","WEEKS","29 - 27"
"September 28, 2001","UFC 33: Victory in Vegas","Mandalay Bay Events Center","Las Vegas, Nevada, USA","Thomas def. Iha","Unanimous","MULLEN","29 - 28","SCHORLE","29 - 27","WEEKS","29 - 28"
"September 28, 2001","UFC 33: Victory in Vegas","Mandalay Bay Events Center","Las Vegas, Nevada, USA","Serra def. Edwards","Majority","HAMILTON","30 - 26","MULLEN","30 - 27","WEEKS","29 - 29"
"September 28, 2001","UFC 33: Victory in Vegas","Mandalay Bay Events Center","Las Vegas, Nevada, USA","Menne def. Castillo","Unanimous","CROSBY","49 - 43","MULLEN","49 - 44","WEEKS","49 - 45"
"June 29, 2001","UFC 32: Showdown in the Meadowlands","Continental Airlines Arena","East Rutherford, New Jersey, USA","Matyushenko def. Kondo","Unanimous","ANDUJAR","30 - 27","CROSBY","30 - 26","MULLINAX","30 - 27"
"May 04, 2001","UFC 31: Locked & Loaded","Trump Taj Mahal Casino Resort","Atlantic City, New Jersey, USA","Couture def. Rizzo","Unanimous","BURDYCK","1 - 0","CROSBY","1 - 0","DEPASQUALE JR.","1 - 0"
"May 04, 2001","UFC 31: Locked & Loaded","Trump Taj Mahal Casino Resort","Atlantic City, New Jersey, USA","DeSouza def. Berger","Unanimous","ANDUJAR","30 - 27","CROSBY","29 - 28","DEPASQUALE JR.","29 - 28"
"February 23, 2001","UFC 30: Battle on the Boardwalk","Trump Taj Mahal Casino Resort","Atlantic City, New Jersey, USA","Pulver def. Uno","Unanimous","Unknown","0NA","Unknown","0NA","Unknown","0NA"
"February 23, 2001","UFC 30: Battle on the Boardwalk","Trump Taj Mahal Casino Resort","Atlantic City, New Jersey, USA","Baroni def. Stout","Unanimous","Unknown","0NA","Unknown","0NA","Unknown","0NA"
"September 27, 2002","UFC 39: The Warriors Return","Mohegan Sun Arena","Uncasville, Connecticut, USA","Penn def. Serra","Unanimous","CROSBY","29 - 28","MULLEN","29 - 28","PEOPLES","29 - 28"
"September 27, 2002","UFC 39: The Warriors Return","Mohegan Sun Arena","Uncasville, Connecticut, USA","Uno def. Thomas","Unanimous","HAMILTON","29 - 27","MULLEN","29 - 27","PEOPLES","29 - 27"
"September 27, 2002","UFC 39: The Warriors Return","Mohegan Sun Arena","Uncasville, Connecticut, USA","Lindland def. Salaverry","Unanimous","CROSBY","30 - 28","MULLEN","29 - 28","PEOPLES","29 - 28"
"July 13, 2002","UFC 38: Brawl at the Hall","Royal Albert Hall","London, England","Miller def. Zikic","Unanimous","HAMILTON","29 - 28","MULLEN","29 - 28","PEOPLES","29 - 28"
"July 13, 2002","UFC 38: Brawl at the Hall","Royal Albert Hall","London, England","Sobral def. Sinosic","Unanimous","HAMILTON","30 - 27","MULLEN","30 - 27","PEOPLES","30 - 26"
"July 13, 2002","UFC 38: Brawl at the Hall","Royal Albert Hall","London, England","Tanner def. Haseman","Unanimous","MULLEN","30 - 26","PEOPLES","30 - 26","WATTS","30 - 27"
"June 22, 2002","UFC 37.5: As Real As It Gets","Bellagio","Las Vegas, Nevada, USA","Liddell def. Belfort","Unanimous","BELARDO","30 - 27","PEOPLES","30 - 27","ROSALES","29 - 28"
"June 22, 2002","UFC 37.5: As Real As It Gets","Bellagio","Las Vegas, Nevada, USA","Radach def. Serra","Unanimous","BELARDO","30 - 27","MILLIS","29 - 28","WEEKS","30 - 27"
"May 10, 2002","UFC 37: High Impact","CenturyTel Center","Bossier City, Louisiana, USA","Uno def. Edwards","Unanimous","MULLEN","29 - 28","PEOPLES","30 - 29","ROSALES","29 - 28"
"May 10, 2002","UFC 37: High Impact","CenturyTel Center","Bossier City, Louisiana, USA","Lawler def. Riley","Unanimous","HAMILTON","29 - 28","MULLEN","29 - 27","ROSALES","29 - 27"
"March 22, 2002","UFC 36: Worlds Collide","MGM Grand Arena","Las Vegas, Nevada, USA","Sherk def. Nakao","Unanimous","CROSBY","30 - 27","PEOPLES","30 - 27","ROSALES","30 - 27"
"January 11, 2002","UFC 35: Throwdown","Mohegan Sun Arena","Uncasville, Connecticut, USA","Pulver def. Penn","Majority","CROSBY","48 - 45","MULLEN","47 - 47","MULLINAX","48 - 47"
"January 11, 2002","UFC 35: Throwdown","Mohegan Sun Arena","Uncasville, Connecticut, USA","Liddell def. Suloev","Unanimous","MULLEN","30 - 27","MULLINAX","30 - 27","SHEARER","30 - 27"
"January 11, 2002","UFC 35: Throwdown","Mohegan Sun Arena","Uncasville, Connecticut, USA","Randleman def. Sobral","Unanimous","CROSBY","30 - 26","MULLEN","30 - 26","SHEARER","30 - 25"
"January 11, 2002","UFC 35: Throwdown","Mohegan Sun Arena","Uncasville, Connecticut, USA","Castillo def. Brennan","Unanimous","CROSBY","30 - 26","MULLEN","30 - 27","SHEARER","30 - 28"
"November 21, 2003","UFC 45: Revolution","Mohegan Sun Arena","Uncasville, Connecticut, USA","Lawler def. Lytle","Unanimous","CROSBY","29 - 28","MULLEN","29 - 28","PEOPLES","29 - 28"
"November 21, 2003","UFC 45: Revolution","Mohegan Sun Arena","Uncasville, Connecticut, USA","Rizzo def. Rodriguez","Unanimous","CROSBY","30 - 27","HAMILTON","29 - 28","MULLEN","30 - 27"
"September 26, 2003","UFC 44: Undisputed","Mandalay Bay Events Center","Las Vegas, Nevada, USA","Couture def. Ortiz","Unanimous","HAMILTON","50 - 44","MULLEN","50 - 44","ROSALES","50 - 45"
"September 26, 2003","UFC 44: Undisputed","Mandalay Bay Events Center","Las Vegas, Nevada, USA","Rivera def. Loiseau","Unanimous","HAMILTON","29 - 28","PEOPLES","29 - 27","WEEKS","29 - 28"
"June 06, 2003","UFC 43: Meltdown","Thomas and Mack Center","Las Vegas, Nevada, USA","White drew with Freeman","Split","BELARDO","28 - 29","PEOPLES","30 - 27","WEEKS","29 - 29"
"June 06, 2003","UFC 43: Meltdown","Thomas and Mack Center","Las Vegas, Nevada, USA","Edwards def. Ruiz","Unanimous","BELARDO","30 - 27","PEOPLES","30 - 27","ROSALES","30 - 27"
"April 25, 2003","UFC 42: Sudden Impact","AmericanAirlines Arena","Miami, Florida, USA","Hughes def. Sherk","Unanimous","CROSBY","49 - 46","MILLIS","48 - 47","MULLEN","48 - 45"
"April 25, 2003","UFC 42: Sudden Impact","AmericanAirlines Arena","Miami, Florida, USA","Strasser def. Aram","Unanimous","CROSBY","30 - 27","MULLEN","30 - 27","PEOPLES","30 - 27"
"April 25, 2003","UFC 42: Sudden Impact","AmericanAirlines Arena","Miami, Florida, USA","Ludwig def. Sudo","Unanimous","CROSBY","29 - 28","MULLEN","29 - 28","PEOPLES","29 - 28"
"April 25, 2003","UFC 42: Sudden Impact","AmericanAirlines Arena","Miami, Florida, USA","Franca def. Crunkilton","Unanimous","CROSBY","29 - 28","MILLIS","29 - 28","PEOPLES","29 - 28"
"February 28, 2003","UFC 41: Onslaught","Boardwalk Hall","Atlantic City, New Jersey, USA","Penn drew with Uno","Split","CROSBY","48 - 46","MULLINAX","47 - 48","WRIGHT","48 - 48"
"February 28, 2003","UFC 41: Onslaught","Boardwalk Hall","Atlantic City, New Jersey, USA","Lindland def. Baroni","Unanimous","HAMILTON","29 - 28","MULLINAX","29 - 28","WRIGHT","29 - 28"
"February 28, 2003","UFC 41: Onslaught","Boardwalk Hall","Atlantic City, New Jersey, USA","Matyushenko def. Rizzo","Unanimous","CROSBY","29 - 28","HAMILTON","30 - 27","MULLINAX","29 - 28"
"February 28, 2003","UFC 41: Onslaught","Boardwalk Hall","Atlantic City, New Jersey, USA","Thomas def. Serra","Split","CROSBY","0 - 0","HAMILTON","0 - 0","WRIGHT","0 - 0"
"October 22, 2004","UFC 50: The War of '04","Boardwalk Hall","Atlantic City, New Jersey, USA","Ortiz def. Cote","Unanimous","BELARDO","30 - 27","MULLEN","30 - 26","PEOPLES","30 - 26"
"August 21, 2004","UFC 49: Unfinished Business","MGM Grand Arena","Las Vegas, Nevada, USA","Parisyan def. Diaz","Split","PEOPLES","29 - 28","ROSALES","30 - 27","SHIRLEY","28 - 29"
"June 19, 2004","UFC 48: Payback","Mandalay Bay Events Center","Las Vegas, Nevada, USA","Hughes def. Verissimo","Unanimous","BELARDO","30 - 27","HAMILTON","29 - 28","SHIRLEY","30 - 27"
"June 19, 2004","UFC 48: Payback","Mandalay Bay Events Center","Las Vegas, Nevada, USA","Tanner def. Baroni","Unanimous","PEOPLES","30 - 27","ROSALES","30 - 27","SHIRLEY","29 - 28"
"June 19, 2004","UFC 48: Payback","Mandalay Bay Events Center","Las Vegas, Nevada, USA","Serra def. Menjivar","Unanimous","BELARDO","30 - 27","HAMILTON","30 - 27","TROWBRIDGE","30 - 27"
"May 08, 2004","Boxing: Pacquiao vs. Marquez","MGM Grand Garden Arena","Las Vegas, Nevada, USA","Pacquiao drew with Márquez","Split","CLEMENTS","113 - 113","JUTRAS","110 - 115","STEWART","115 - 110"
"April 02, 2004","UFC 47: It's On","Mandalay Bay Events Center","Las Vegas, Nevada, USA","Edwards def. Franca","Split","PEOPLES","29 - 28","SHIRLEY","29 - 28","WEEKS","28 - 29"
"January 31, 2004","UFC 46: Super Natural","Mandalay Bay Events Center","Las Vegas, Nevada, USA","Verissimo def. Newton","Unanimous","HAMILTON","30 - 27","ROSALES","30 - 27","TROWBRIDGE","30 - 27"
"January 31, 2004","UFC 46: Super Natural","Mandalay Bay Events Center","Las Vegas, Nevada, USA","St-Pierre def. Parisyan","Unanimous","HAMILTON","29 - 28","ROSALES","30 - 27","TROWBRIDGE","30 - 27"
"January 31, 2004","UFC 46: Super Natural","Mandalay Bay Events Center","Las Vegas, Nevada, USA","Thomson def. Franca","Unanimous","BELARDO","29 - 28","ROSALES","29 - 28","TROWBRIDGE","29 - 28"
"January 31, 2004","UFC 46: Super Natural","Mandalay Bay Events Center","Las Vegas, Nevada, USA","Serra def. Curran","Unanimous","HAMILTON","30 - 27","PEOPLES","30 - 27","SHIRLEY","30 - 27"
"November 19, 2005","UFC 56: Full Force","MGM Grand Arena","Las Vegas, Nevada, USA","Horn def. Prangley","Unanimous","HAMILTON","29 - 28","ROSALES","29 - 28","TROWBRIDGE","29 - 28"
"November 19, 2005","UFC 56: Full Force","MGM Grand Arena","Las Vegas, Nevada, USA","Thompson def. Wisniewski","Unanimous","HAMILTON","30 - 27","MULLEN","30 - 27","PEOPLES","30 - 27"
"November 05, 2005","TUF 2 Finale: The Ultimate Fighter 2 Finale","Hard Rock Hotel and Casino","Las Vegas, Nevada, USA","Sanchez def. Diaz","Unanimous","HAMILTON","30 - 27","PEOPLES","30 - 27","ROSALES","30 - 27"
"November 05, 2005","TUF 2 Finale: The Ultimate Fighter 2 Finale","Hard Rock Hotel and Casino","Las Vegas, Nevada, USA","Evans def. Imes","Split","BELARDO","29 - 28","HAMILTON","29 - 28","WEEKS","28 - 29"
"November 05, 2005","TUF 2 Finale: The Ultimate Fighter 2 Finale","Hard Rock Hotel and Casino","Las Vegas, Nevada, USA","Stevenson def. Cummo","Unanimous","PEOPLES","29 - 28","ROSALES","30 - 27","TROWBRIDGE","29 - 28"
"October 07, 2005","UFC 55: Fury","Mohegan Sun Arena","Uncasville, Connecticut, USA","Rivera def. Hallman","Unanimous","CROSBY","30 - 27","MULLEN","30 - 27","Unknown","27NA"
"October 03, 2005","UFN 2: Ultimate Fight Night 2","Hard Rock Hotel and Casino","Las Vegas, Nevada, USA","Fitch def. Larson","Unanimous","HAMILTON","30 - 27","MULLEN","30 - 27","PEOPLES","30 - 27"
"August 20, 2005","UFC 54: Boiling Point","MGM Grand Arena","Las Vegas, Nevada, USA","Lindland def. Doerksen","Unanimous","HAMILTON","30 - 27","MULLEN","29 - 28","TROWBRIDGE","30 - 27"
"August 20, 2005","UFC 54: Boiling Point","MGM Grand Arena","Las Vegas, Nevada, USA","Prangley def. Lutter","Unanimous","PEOPLES","30 - 27","SHIRLEY","30 - 27","WEEKS","30 - 26"
"August 06, 2005","UFN 1: Ultimate Fight Night","Cox Pavilion","Las Vegas, Nevada, USA","Marquardt def. Salaverry","Unanimous","MULLEN","30 - 27","SCHORLE","30 - 27","TROWBRIDGE","29 - 28"
"August 06, 2005","UFN 1: Ultimate Fight Night","Cox Pavilion","Las Vegas, Nevada, USA","Leben def. Cote","Split","SCHORLE","29 - 28","SHIRLEY","30 - 27","SILBERT","27 - 29"
"August 06, 2005","UFN 1: Ultimate Fight Night","Cox Pavilion","Las Vegas, Nevada, USA","Bonnar def. Hoger","Unanimous","MULLEN","30 - 27","SCHORLE","30 - 27","TROWBRIDGE","30 - 27"
"June 04, 2005","UFC 53: Heavy Hitters","Boardwalk Hall","Atlantic City, New Jersey, USA","Parisyan def. Serra","Unanimous","BELARDO","30 - 27","CROSBY","30 - 27","MULLEN","29 - 28"
"April 16, 2005","UFC 52: Couture vs Liddell 2","MGM Grand Arena","Las Vegas, Nevada, USA","St-Pierre def. Miller","Unanimous","PEOPLES","30 - 27","ROSALES","30 - 27","SHIRLEY","30 - 27"
"April 16, 2005","UFC 52: Couture vs Liddell 2","MGM Grand Arena","Las Vegas, Nevada, USA","Van Arsdale def. Marsh","Unanimous","PEOPLES","29 - 28","ROSALES","29 - 28","SHIRLEY","29 - 28"
"April 09, 2005","TUF 1 Finale: The Ultimate Fighter Finale","Cox Pavilion","Las Vegas, Nevada, USA","Griffin def. Bonnar","Unanimous","MULLEN","29 - 28","SHIRLEY","29 - 28","WEEKS","29 - 28"
"April 09, 2005","TUF 1 Finale: The Ultimate Fighter Finale","Cox Pavilion","Las Vegas, Nevada, USA","Hoger def. Southworth","Unanimous","MULLEN","29 - 28","TROWBRIDGE","30 - 28","WEEKS","29 - 28"
"March 19, 2005","Boxing: Pacquiao vs. Morales","MGM Grand Garden Arena","Las Vegas, Nevada, USA","Morales def. Pacquiao","Unanimous","GIAMPA","115 - 113","MORETTI","115 - 113","SMITH","115 - 113"
"February 05, 2005","UFC 51: Super Saturday","Mandalay Bay Events Center","Las Vegas, Nevada, USA","Ortiz def. Belfort","Split","HAMILTON","29 - 28","MULLEN","28 - 29","PEOPLES","29 - 28"
"February 05, 2005","UFC 51: Super Saturday","Mandalay Bay Events Center","Las Vegas, Nevada, USA","Parisyan def. Lytle","Unanimous","MULLEN","30 - 27","PEOPLES","30 - 27","SHIRLEY","30 - 27"
"December 30, 2006","UFC 66: Liddell vs. Ortiz 2","MGM Grand Arena","Las Vegas, Nevada, USA","Wellisch def. Perosh","Unanimous","GRIFFIN","29 - 28","MULLEN","29 - 27","ROSALES","29 - 28"
"December 13, 2006","UFN 7: UFC Fight Night 7","MCAS Miramar","San Diego, California, USA","Koscheck def. Joslin","Unanimous","BERTRAND","30 - 27","PEOPLES","30 - 27","ROCHIN","30 - 27"
"December 13, 2006","UFN 7: UFC Fight Night 7","MCAS Miramar","San Diego, California, USA","Parisyan def. Fickett","Unanimous","HAMILTON","30 - 27","PEOPLES","30 - 27","ROCHIN","30 - 27"
"December 13, 2006","UFN 7: UFC Fight Night 7","MCAS Miramar","San Diego, California, USA","Davis def. Carter","Unanimous","BERTRAND","30 - 26","HAMILTON","30 - 27","ROCHIN","29 - 28"
"December 13, 2006","UFN 7: UFC Fight Night 7","MCAS Miramar","San Diego, California, USA","Heath def. Valimaki","Split","HAMILTON","29 - 28","PEOPLES","28 - 29","ROCHIN","29 - 28"
"December 13, 2006","UFN 7: UFC Fight Night 7","MCAS Miramar","San Diego, California, USA","Larson def. Nakamura","Unanimous","BERTRAND","29 - 28","PEOPLES","29 - 28","ROCHIN","29 - 28"
"December 13, 2006","UFN 7: UFC Fight Night 7","MCAS Miramar","San Diego, California, USA","Clark def. Byrnes","Unanimous","PEOPLES","30 - 27","ROCHIN","30 - 27","Unknown","28NA"
