player,year,greens,holes,cut
Chez Reavie,2020,27,43,Bunker
Chris Baker,2020,105,187,Other
Chris Baker,2020,388,476,Fairway
Chris Baker,2020,7,22,Bunker
Chris Stroud,2020,118,227,Other
Chris Stroud,2020,286,382,Fairway
Chris Stroud,2020,16,34,Bunker
Collin Morikawa,2020,178,329,Other
Collin Morikawa,2020,572,734,Fairway
Collin Morikawa,2020,32,57,Bunker
Corey Conners,2020,157,289,Other
Corey Conners,2020,574,695,Fairway
Corey Conners,2020,26,52,Bunker
D.J. Trahan,2020,122,211,Other
D.J. Trahan,2020,330,425,Fairway
D.J. Trahan,2020,11,21,Bunker
Daniel Berger,2020,160,284,Other
Daniel Berger,2020,433,569,Fairway
Daniel Berger,2020,20,38,Bunker
Danny Lee,2020,198,353,Other
Danny Lee,2020,431,549,Fairway
Danny Lee,2020,31,60,Bunker
Danny Willett,2020,111,225,Other
Danny Willett,2020,234,310,Fairway
Danny Willett,2020,10,25,Bunker
David Hearn,2020,115,210,Other
David Hearn,2020,374,488,Fairway
David Hearn,2020,8,15,Bunker
Denny McCarthy,2020,180,365,Other
Denny McCarthy,2020,533,664,Fairway
Denny McCarthy,2020,20,49,Bunker
Doc Redman,2020,170,310,Other
Doc Redman,2020,623,783,Fairway
Doc Redman,2020,32,54,Bunker
Dominic Bozzelli,2020,106,223,Other
Dominic Bozzelli,2020,201,260,Fairway
Dominic Bozzelli,2020,10,20,Bunker
Doug Ghim,2020,104,179,Other
Doug Ghim,2020,291,356,Fairway
Doug Ghim,2020,11,24,Bunker
Dustin Johnson,2020,136,246,Other
Dustin Johnson,2020,330,407,Fairway
Dustin Johnson,2020,13,36,Bunker
Dylan Frittelli,2020,216,385,Other
Dylan Frittelli,2020,521,698,Fairway
Dylan Frittelli,2020,27,65,Bunker
Emiliano Grillo,2020,154,272,Other
Emiliano Grillo,2020,483,599,Fairway
Emiliano Grillo,2020,23,35,Bunker
Fabián Gómez,2020,123,230,Other
Fabián Gómez,2020,389,506,Fairway
Fabián Gómez,2020,17,33,Bunker
Gary Woodland,2020,172,304,Other
Gary Woodland,2020,405,521,Fairway
Gary Woodland,2020,17,43,Bunker
Graeme McDowell,2020,111,236,Other
Graeme McDowell,2020,316,418,Fairway
Graeme McDowell,2020,9,20,Bunker
Grayson Murray,2020,104,202,Other
Grayson Murray,2020,211,273,Fairway
Grayson Murray,2020,11,29,Bunker
Hank Lebioda,2020,149,268,Other
Hank Lebioda,2020,357,464,Fairway
Hank Lebioda,2020,17,37,Bunker
Harold Varner III,2020,183,344,Other
Harold Varner III,2020,518,636,Fairway
Harold Varner III,2020,25,51,Bunker
Harris English,2020,202,349,Other
Harris English,2020,522,657,Fairway
Harris English,2020,37,58,Bunker
Harry Higgs,2020,193,362,Other
Harry Higgs,2020,553,722,Fairway
Harry Higgs,2020,42,77,Bunker
Henrik Norlander,2020,142,275,Other
Henrik Norlander,2020,585,720,Fairway
Henrik Norlander,2020,28,40,Bunker
Hideki Matsuyama,2020,211,388,Other
Hideki Matsuyama,2020,486,588,Fairway
Hideki Matsuyama,2020,31,56,Bunker
Ian Poulter,2020,115,231,Other
Ian Poulter,2020,291,398,Fairway
Ian Poulter,2020,21,39,Bunker
J.J. Spaun,2020,160,303,Other
J.J. Spaun,2020,361,469,Fairway
J.J. Spaun,2020,18,39,Bunker
J.T. Poston,2020,183,351,Other
J.T. Poston,2020,512,696,Fairway
J.T. Poston,2020,16,45,Bunker
James Hahn,2020,97,166,Other
James Hahn,2020,238,309,Fairway
James Hahn,2020,19,28,Bunker
Jason Day,2020,133,291,Other
Jason Day,2020,326,412,Fairway
Jason Day,2020,19,34,Bunker
Jason Dufner,2020,136,253,Other
Jason Dufner,2020,446,576,Fairway
Jason Dufner,2020,15,38,Bunker
Jason Kokrak,2020,182,318,Other
Jason Kokrak,2020,398,498,Fairway
Jason Kokrak,2020,29,48,Bunker
Jhonattan Vegas,2020,144,240,Other
Jhonattan Vegas,2020,340,434,Fairway
Jhonattan Vegas,2020,15,26,Bunker
Jim Furyk,2020,63,110,Other
Jim Furyk,2020,333,406,Fairway
Jim Furyk,2020,16,29,Bunker
Jim Herman,2020,99,213,Other
Jim Herman,2020,432,584,Fairway
Jim Herman,2020,26,46,Bunker
Jimmy Walker,2020,148,297,Other
Jimmy Walker,2020,237,301,Fairway
Jimmy Walker,2020,26,45,Bunker
Joaquin Niemann,2020,244,415,Other
Joaquin Niemann,2020,490,601,Fairway
Joaquin Niemann,2020,19,48,Bunker
Joel Dahmen,2020,169,350,Other
Joel Dahmen,2020,527,711,Fairway
Joel Dahmen,2020,16,40,Bunker
Jon Rahm,2020,125,256,Other
Jon Rahm,2020,430,515,Fairway
Jon Rahm,2020,27,45,Bunker
Jordan Spieth,2020,195,376,Other
Jordan Spieth,2020,338,450,Fairway
Jordan Spieth,2020,14,37,Bunker
Joseph Bramlett,2020,154,275,Other
Joseph Bramlett,2020,351,425,Fairway
Joseph Bramlett,2020,27,41,Bunker
Josh Teater,2020,93,167,Other
Josh Teater,2020,311,391,Fairway
Josh Teater,2020,9,15,Bunker
Justin Rose,2020,84,178,Other
Justin Rose,2020,234,321,Fairway
Justin Rose,2020,15,33,Bunker
Justin Thomas,2020,212,347,Other
Justin Thomas,2020,423,529,Fairway
Justin Thomas,2020,25,48,Bunker
K.H. Lee,2020,164,302,Other
K.H. Lee,2020,493,655,Fairway
K.H. Lee,2020,16,51,Bunker
Keegan Bradley,2020,165,323,Other
Keegan Bradley,2020,445,566,Fairway
Keegan Bradley,2020,30,59,Bunker
Keith Mitchell,2020,158,330,Other
Keith Mitchell,2020,410,522,Fairway
Keith Mitchell,2020,21,43,Bunker
Kevin Chappell,2020,105,218,Other
Kevin Chappell,2020,254,324,Fairway
Kevin Chappell,2020,14,31,Bunker
Kevin Kisner,2020,162,313,Other
Kevin Kisner,2020,492,666,Fairway
Kevin Kisner,2020,25,42,Bunker
Kevin Na,2020,142,328,Other
Kevin Na,2020,474,623,Fairway
Kevin Na,2020,18,42,Bunker
Kevin Streelman,2020,162,295,Other
Kevin Streelman,2020,525,670,Fairway
Kevin Streelman,2020,26,52,Bunker
Kevin Tway,2020,150,298,Other
Kevin Tway,2020,262,333,Fairway
Kevin Tway,2020,14,37,Bunker
Kramer Hickok,2020,106,192,Other
Kramer Hickok,2020,344,460,Fairway
Kramer Hickok,2020,12,33,Bunker
Kris Ventura,2020,138,231,Other
Kris Ventura,2020,282,367,Fairway
Kris Ventura,2020,7,17,Bunker
Kyle Stanley,2020,104,177,Other
Kyle Stanley,2020,430,529,Fairway
Kyle Stanley,2020,16,36,Bunker
Lanto Griffin,2020,245,476,Other
Lanto Griffin,2020,584,738,Fairway
Lanto Griffin,2020,36,77,Bunker
Louis Oosthuizen,2020,112,226,Other
Louis Oosthuizen,2020,323,405,Fairway
Louis Oosthuizen,2020,18,37,Bunker
Lucas Glover,2020,166,284,Other
Lucas Glover,2020,470,603,Fairway
Lucas Glover,2020,21,46,Bunker
Luke List,2020,212,358,Other
Luke List,2020,442,555,Fairway
Luke List,2020,28,53,Bunker
Mackenzie Hughes,2020,172,372,Other
Mackenzie Hughes,2020,427,546,Fairway
Mackenzie Hughes,2020,22,61,Bunker
Marc Leishman,2020,172,351,Other
Marc Leishman,2020,320,441,Fairway
Marc Leishman,2020,31,58,Bunker
Mark Anderson,2020,119,238,Other
Mark Anderson,2020,304,391,Fairway
Mark Anderson,2020,16,28,Bunker
Mark Hubbard,2020,195,382,Other
Mark Hubbard,2020,589,756,Fairway
Mark Hubbard,2020,34,65,Bunker
Martin Laird,2020,90,175,Other
Martin Laird,2020,291,348,Fairway
Martin Laird,2020,12,23,Bunker
Martin Trainer,2020,139,310,Other
Martin Trainer,2020,200,311,Fairway
Martin Trainer,2020,8,26,Bunker
Matt Every,2020,116,231,Other
Matt Every,2020,282,365,Fairway
Matt Every,2020,19,33,Bunker
Matt Fitzpatrick,2020,120,231,Other
Matt Fitzpatrick,2020,360,485,Fairway
Matt Fitzpatrick,2020,17,35,Bunker
Matt Jones,2020,200,366,Other
Matt Jones,2020,483,629,Fairway
Matt Jones,2020,35,68,Bunker
Matt Kuchar,2020,107,228,Other
Matt Kuchar,2020,397,518,Fairway
Matt Kuchar,2020,22,41,Bunker
Matt Wallace,2020,136,255,Other
Matt Wallace,2020,253,327,Fairway
Matt Wallace,2020,16,34,Bunker
Matthew NeSmith,2020,157,285,Other
Matthew NeSmith,2020,499,610,Fairway
Matthew NeSmith,2020,30,56,Bunker
Matthew Wolff,2020,191,374,Other
Matthew Wolff,2020,496,611,Fairway
Matthew Wolff,2020,24,51,Bunker
Maverick McNealy,2020,202,377,Other
Maverick McNealy,2020,480,619,Fairway
Maverick McNealy,2020,39,67,Bunker
Max Homa,2020,168,351,Other
Max Homa,2020,443,577,Fairway
Max Homa,2020,28,51,Bunker
Michael Gellerman,2020,101,191,Other
Michael Gellerman,2020,284,367,Fairway
Michael Gellerman,2020,12,29,Bunker
Michael Gligic,2020,141,247,Other
Michael Gligic,2020,306,399,Fairway
Michael Gligic,2020,16,25,Bunker
Michael Thompson,2020,124,251,Other
Michael Thompson,2020,416,567,Fairway
Michael Thompson,2020,27,49,Bunker
Nate Lashley,2020,115,243,Other
Nate Lashley,2020,346,453,Fairway
Nate Lashley,2020,16,34,Bunker
Nelson Ledesma,2020,129,248,Other
Nelson Ledesma,2020,216,285,Fairway
Nelson Ledesma,2020,14,26,Bunker
Nick Taylor,2020,113,244,Other
Nick Taylor,2020,429,530,Fairway
Nick Taylor,2020,20,51,Bunker
Nick Watney,2020,141,251,Other
Nick Watney,2020,280,341,Fairway
Nick Watney,2020,13,23,Bunker
Pat Perez,2020,153,256,Other
Pat Perez,2020,384,480,Fairway
Pat Perez,2020,16,29,Bunker
Patrick Cantlay,2020,123,225,Other
Patrick Cantlay,2020,317,384,Fairway
Patrick Cantlay,2020,17,38,Bunker
Patrick Reed,2020,209,388,Other
Patrick Reed,2020,459,581,Fairway
Patrick Reed,2020,35,67,Bunker
Patrick Rodgers,2020,288,531,Other
Patrick Rodgers,2020,536,674,Fairway
Patrick Rodgers,2020,36,68,Bunker
Patton Kizzire,2020,160,315,Other
Patton Kizzire,2020,322,416,Fairway
Patton Kizzire,2020,24,39,Bunker
Paul Casey,2020,155,258,Other
Paul Casey,2020,399,498,Fairway
Paul Casey,2020,15,27,Bunker
Peter Malnati,2020,162,320,Other
Peter Malnati,2020,323,434,Fairway
Peter Malnati,2020,18,43,Bunker
Peter Uihlein,2020,157,285,Other
Peter Uihlein,2020,235,285,Fairway
Peter Uihlein,2020,19,31,Bunker
Phil Mickelson,2020,153,300,Other
Phil Mickelson,2020,296,385,Fairway
Phil Mickelson,2020,14,28,Bunker
Rafa Cabrera Bello,2020,128,248,Other
Rafa Cabrera Bello,2020,333,461,Fairway
Rafa Cabrera Bello,2020,10,28,Bunker
Rhein Gibson,2020,154,296,Other
Rhein Gibson,2020,278,363,Fairway
Rhein Gibson,2020,24,40,Bunker
Richy Werenski,2020,148,287,Other
Richy Werenski,2020,352,454,Fairway
Richy Werenski,2020,21,42,Bunker
Rickie Fowler,2020,81,189,Other
Rickie Fowler,2020,325,402,Fairway
Rickie Fowler,2020,14,29,Bunker
Rob Oppenheim,2020,140,279,Other
Rob Oppenheim,2020,409,537,Fairway
Rob Oppenheim,2020,15,37,Bunker
Robby Shelton,2020,194,337,Other
Robby Shelton,2020,461,608,Fairway
Robby Shelton,2020,26,49,Bunker
Robert Streb,2020,146,266,Other
Robert Streb,2020,325,406,Fairway
Robert Streb,2020,15,27,Bunker
Roger Sloan,2020,142,266,Other
Roger Sloan,2020,314,416,Fairway
Roger Sloan,2020,18,32,Bunker
Rory McIlroy,2020,168,328,Other
Rory McIlroy,2020,396,471,Fairway
Rory McIlroy,2020,16,37,Bunker
Rory Sabbatini,2020,160,319,Other
Rory Sabbatini,2020,443,559,Fairway
Rory Sabbatini,2020,20,42,Bunker
Russell Henley,2020,145,260,Other
Russell Henley,2020,467,579,Fairway
Russell Henley,2020,26,43,Bunker
Russell Knox,2020,146,277,Other
Russell Knox,2020,449,548,Fairway
Russell Knox,2020,33,56,Bunker
Ryan Armour,2020,88,189,Other
Ryan Armour,2020,453,599,Fairway
Ryan Armour,2020,7,23,Bunker
Ryan Brehm,2020,186,321,Other
Ryan Brehm,2020,275,341,Fairway
Ryan Brehm,2020,21,37,Bunker
Ryan Moore,2020,84,156,Other
Ryan Moore,2020,326,420,Fairway
Ryan Moore,2020,20,36,Bunker
Ryan Palmer,2020,170,320,Other
Ryan Palmer,2020,431,572,Fairway
Ryan Palmer,2020,33,60,Bunker
Sam Burns,2020,175,307,Other
Sam Burns,2020,357,445,Fairway
Sam Burns,2020,34,60,Bunker
Sam Ryder,2020,170,334,Other
Sam Ryder,2020,473,600,Fairway
Sam Ryder,2020,24,46,Bunker
Scott Brown,2020,124,262,Other
Scott Brown,2020,447,603,Fairway
Scott Brown,2020,15,30,Bunker
Scott Harrington,2020,172,342,Other
Scott Harrington,2020,428,555,Fairway
Scott Harrington,2020,29,54,Bunker
Scott Piercy,2020,161,304,Other
Scott Piercy,2020,420,576,Fairway
Scott Piercy,2020,27,39,Bunker
Scott Stallings,2020,209,354,Other
Scott Stallings,2020,436,537,Fairway
Scott Stallings,2020,19,46,Bunker
Scottie Scheffler,2020,205,372,Other
Scottie Scheffler,2020,563,703,Fairway
Scottie Scheffler,2020,39,73,Bunker
Seamus Power,2020,96,168,Other
Seamus Power,2020,209,262,Fairway
Seamus Power,2020,11,17,Bunker
Sebastian Cappelen,2020,183,325,Other
Sebastian Cappelen,2020,292,379,Fairway
Sebastian Cappelen,2020,16,37,Bunker
Sebastián Muñoz,2020,214,409,Other
Sebastián Muñoz,2020,560,713,Fairway
Sebastián Muñoz,2020,23,58,Bunker
Sepp Straka,2020,172,339,Other
Sepp Straka,2020,462,590,Fairway
Sepp Straka,2020,30,51,Bunker
Sergio Garcia,2020,129,219,Other
Sergio Garcia,2020,287,371,Fairway
Sergio Garcia,2020,16,22,Bunker
Shane Lowry,2020,110,213,Other
Shane Lowry,2020,300,373,Fairway
Shane Lowry,2020,17,26,Bunker
Si Woo Kim,2020,196,376,Other
Si Woo Kim,2020,454,588,Fairway
Si Woo Kim,2020,31,67,Bunker
Stewart Cink,2020,145,260,Other
Stewart Cink,2020,317,402,Fairway
Stewart Cink,2020,29,51,Bunker
Sung Kang,2020,221,392,Other
Sung Kang,2020,437,568,Fairway
Sung Kang,2020,30,61,Bunker
Sungjae Im,2020,189,390,Other
Sungjae Im,2020,671,846,Fairway
Sungjae Im,2020,42,76,Bunker
Talor Gooch,2020,216,411,Other
Talor Gooch,2020,538,678,Fairway
Talor Gooch,2020,38,73,Bunker
"Ted Potter, Jr.",2020,121,206,Other
"Ted Potter, Jr.",2020,285,373,Fairway
"Ted Potter, Jr.",2020,21,36,Bunker
Tim Wilkinson,2020,91,183,Other
Tim Wilkinson,2020,340,439,Fairway
Tim Wilkinson,2020,8,21,Bunker
Tom Hoge,2020,187,349,Other
Tom Hoge,2020,472,627,Fairway
Tom Hoge,2020,30,59,Bunker
Tommy Fleetwood,2020,108,199,Other
Tommy Fleetwood,2020,265,341,Fairway
Tommy Fleetwood,2020,8,16,Bunker
Tony Finau,2020,256,429,Other
Tony Finau,2020,423,520,Fairway
Tony Finau,2020,29,55,Bunker
Troy Merritt,2020,148,280,Other
Troy Merritt,2020,465,611,Fairway
Troy Merritt,2020,29,56,Bunker
Tyler Duncan,2020,140,297,Other
Tyler Duncan,2020,631,814,Fairway
Tyler Duncan,2020,16,54,Bunker
Tyler McCumber,2020,177,314,Other
Tyler McCumber,2020,304,402,Fairway
Tyler McCumber,2020,17,25,Bunker
Tyrrell Hatton,2020,113,190,Other
Tyrrell Hatton,2020,286,363,Fairway
Tyrrell Hatton,2020,16,35,Bunker
Vaughn Taylor,2020,123,230,Other
Vaughn Taylor,2020,411,576,Fairway
Vaughn Taylor,2020,18,43,Bunker
Viktor Hovland,2020,176,313,Other
Viktor Hovland,2020,523,652,Fairway
Viktor Hovland,2020,25,66,Bunker
Vince Whaley,2020,105,193,Other
Vince Whaley,2020,246,310,Fairway
Vince Whaley,2020,12,28,Bunker
Webb Simpson,2020,111,210,Other
Webb Simpson,2020,395,490,Fairway
Webb Simpson,2020,15,28,Bunker
Wes Roach,2020,103,188,Other
Wes Roach,2020,276,350,Fairway
Wes Roach,2020,8,21,Bunker
Will Gordon,2020,102,169,Other
Will Gordon,2020,211,257,Fairway
Will Gordon,2020,10,22,Bunker
Wyndham Clark,2020,188,364,Other
Wyndham Clark,2020,328,443,Fairway
Wyndham Clark,2020,24,42,Bunker
Xander Schauffele,2020,194,335,Other
Xander Schauffele,2020,496,591,Fairway
Xander Schauffele,2020,30,54,Bunker
Xinjun Zhang,2020,207,388,Other
Xinjun Zhang,2020,509,641,Fairway
Xinjun Zhang,2020,24,48,Bunker
Zac Blair,2020,161,302,Other
Zac Blair,2020,432,578,Fairway
Zac Blair,2020,17,43,Bunker
Zach Johnson,2020,153,275,Other
Zach Johnson,2020,420,536,Fairway
Zach Johnson,2020,17,43,Bunker
Zack Sucher,2020,119,204,Other
Zack Sucher,2020,216,268,Fairway
Zack Sucher,2020,21,31,Bunker
Aaron Baddeley,2021,150,279,Other
Aaron Baddeley,2021,326,435,Fairway
Aaron Baddeley,2021,16,40,Bunker
Aaron Wise,2021,212,376,Other
Aaron Wise,2021,554,670,Fairway
Aaron Wise,2021,33,70,Bunker
Abraham Ancer,2021,195,330,Other
Abraham Ancer,2021,747,972,Fairway
Abraham Ancer,2021,27,66,Bunker
Adam Hadwin,2021,165,385,Other
Adam Hadwin,2021,578,772,Fairway
Adam Hadwin,2021,29,69,Bunker
Adam Long,2021,140,320,Other
Adam Long,2021,589,786,Fairway
Adam Long,2021,25,60,Bunker
Adam Schenk,2021,293,485,Other
Adam Schenk,2021,650,866,Fairway
Adam Schenk,2021,44,71,Bunker
Adam Scott,2021,191,406,Other
Adam Scott,2021,463,557,Fairway
Adam Scott,2021,16,45,Bunker
Alex Noren,2021,198,408,Other
Alex Noren,2021,489,663,Fairway
Alex Noren,2021,29,67,Bunker
Andrew Landry,2021,125,265,Other
Andrew Landry,2021,452,614,Fairway
Andrew Landry,2021,20,41,Bunker
Andrew Putnam,2021,218,409,Other
Andrew Putnam,2021,588,765,Fairway
Andrew Putnam,2021,31,68,Bunker
Anirban Lahiri,2021,200,354,Other
Anirban Lahiri,2021,414,548,Fairway
Anirban Lahiri,2021,25,50,Bunker
Austin Cook,2021,150,291,Other
Austin Cook,2021,500,656,Fairway
Austin Cook,2021,24,55,Bunker
Beau Hossler,2021,254,481,Other
Beau Hossler,2021,537,690,Fairway
Beau Hossler,2021,33,55,Bunker
Ben Martin,2021,121,207,Other
Ben Martin,2021,346,468,Fairway
Ben Martin,2021,10,25,Bunker
Ben Taylor,2021,158,296,Other
Ben Taylor,2021,293,371,Fairway
Ben Taylor,2021,18,33,Bunker
Bill Haas,2021,115,221,Other
Bill Haas,2021,281,351,Fairway
Bill Haas,2021,21,44,Bunker
Billy Horschel,2021,181,353,Other
Billy Horschel,2021,608,791,Fairway
Billy Horschel,2021,30,60,Bunker
Bo Hoag,2021,225,363,Other
Bo Hoag,2021,610,776,Fairway
Bo Hoag,2021,38,75,Bunker
Bo Van Pelt,2021,197,338,Other
Bo Van Pelt,2021,436,611,Fairway
Bo Van Pelt,2021,31,53,Bunker
Branden Grace,2021,225,442,Other
Branden Grace,2021,497,626,Fairway
Branden Grace,2021,23,60,Bunker
Brandon Hagy,2021,245,467,Other
Brandon Hagy,2021,411,524,Fairway
Brandon Hagy,2021,19,41,Bunker
Brandt Snedeker,2021,193,355,Other
Brandt Snedeker,2021,570,748,Fairway
Brandt Snedeker,2021,29,65,Bunker
Brendan Steele,2021,164,346,Other
Brendan Steele,2021,519,657,Fairway
Brendan Steele,2021,28,57,Bunker
Brendon Todd,2021,112,253,Other
Brendon Todd,2021,665,906,Fairway
Brendon Todd,2021,21,45,Bunker
Brian Gay,2021,157,324,Other
Brian Gay,2021,425,586,Fairway
Brian Gay,2021,38,72,Bunker
Brian Harman,2021,189,392,Other
Brian Harman,2021,694,931,Fairway
Brian Harman,2021,23,69,Bunker
Brian Stuard,2021,184,336,Other
Brian Stuard,2021,779,1063,Fairway
Brian Stuard,2021,22,51,Bunker
Brice Garnett,2021,185,333,Other
Brice Garnett,2021,694,908,Fairway
Brice Garnett,2021,18,43,Bunker
Bronson Burgoon,2021,210,359,Other
Bronson Burgoon,2021,460,601,Fairway
Bronson Burgoon,2021,19,42,Bunker
Brooks Koepka,2021,192,334,Other
Brooks Koepka,2021,416,521,Fairway
Brooks Koepka,2021,34,65,Bunker
Bryson DeChambeau,2021,243,464,Other
Bryson DeChambeau,2021,492,609,Fairway
Bryson DeChambeau,2021,30,51,Bunker
Bubba Watson,2021,205,337,Other
Bubba Watson,2021,434,574,Fairway
Bubba Watson,2021,21,47,Bunker
Byeong Hun An,2021,246,495,Other
Byeong Hun An,2021,467,607,Fairway
Byeong Hun An,2021,39,66,Bunker
C.T. Pan,2021,195,379,Other
C.T. Pan,2021,526,682,Fairway
C.T. Pan,2021,27,55,Bunker
Cam Davis,2021,257,498,Other
Cam Davis,2021,576,735,Fairway
Cam Davis,2021,26,77,Bunker
Cameron Champ,2021,211,375,Other
Cameron Champ,2021,478,618,Fairway
Cameron Champ,2021,31,57,Bunker
Cameron Percy,2021,206,338,Other
Cameron Percy,2021,557,685,Fairway
Cameron Percy,2021,26,53,Bunker
Cameron Smith,2021,192,392,Other
Cameron Smith,2021,544,680,Fairway
Cameron Smith,2021,44,76,Bunker
Cameron Tringale,2021,213,420,Other
Cameron Tringale,2021,618,783,Fairway
Cameron Tringale,2021,39,77,Bunker
Camilo Villegas,2021,233,410,Other
Camilo Villegas,2021,467,605,Fairway
Camilo Villegas,2021,28,57,Bunker
Carlos Ortiz,2021,224,419,Other
Carlos Ortiz,2021,613,775,Fairway
Carlos Ortiz,2021,36,90,Bunker
Charl Schwartzel,2021,234,420,Other
Charl Schwartzel,2021,536,692,Fairway
Charl Schwartzel,2021,44,86,Bunker
Charles Howell III,2021,173,333,Other
Charles Howell III,2021,481,592,Fairway
Charles Howell III,2021,40,51,Bunker
Charley Hoffman,2021,286,513,Other
Charley Hoffman,2021,618,787,Fairway
Charley Hoffman,2021,41,78,Bunker
Chase Seiffert,2021,190,330,Other
Chase Seiffert,2021,528,711,Fairway
Chase Seiffert,2021,23,49,Bunker
Chesson Hadley,2021,214,394,Other
Chesson Hadley,2021,422,567,Fairway
Chesson Hadley,2021,26,45,Bunker
Chez Reavie,2021,126,248,Other
Chez Reavie,2021,664,870,Fairway
Chez Reavie,2021,27,56,Bunker
Chris Baker,2021,111,217,Other
Chris Baker,2021,367,500,Fairway
Chris Baker,2021,26,39,Bunker
Chris Kirk,2021,209,375,Other
Chris Kirk,2021,582,760,Fairway
Chris Kirk,2021,30,63,Bunker
Collin Morikawa,2021,153,279,Other
Collin Morikawa,2021,609,760,Fairway
Collin Morikawa,2021,27,53,Bunker
Corey Conners,2021,197,361,Other
Corey Conners,2021,800,1013,Fairway
Corey Conners,2021,40,70,Bunker
D.J. Trahan,2021,182,338,Other
D.J. Trahan,2021,414,526,Fairway
D.J. Trahan,2021,32,58,Bunker
Daniel Berger,2021,198,341,Other
Daniel Berger,2021,613,770,Fairway
Daniel Berger,2021,30,65,Bunker
Danny Lee,2021,130,274,Other
Danny Lee,2021,367,484,Fairway
Danny Lee,2021,32,58,Bunker
Danny Willett,2021,112,234,Other
Danny Willett,2021,289,393,Fairway
Danny Willett,2021,10,28,Bunker
David Hearn,2021,118,232,Other
David Hearn,2021,463,624,Fairway
David Hearn,2021,22,36,Bunker
Denny McCarthy,2021,217,422,Other
Denny McCarthy,2021,613,815,Fairway
Denny McCarthy,2021,34,71,Bunker
Doc Redman,2021,144,313,Other
Doc Redman,2021,535,685,Fairway
Doc Redman,2021,28,58,Bunker
Doug Ghim,2021,179,334,Other
Doug Ghim,2021,650,824,Fairway
Doug Ghim,2021,23,44,Bunker
Dustin Johnson,2021,189,362,Other
Dustin Johnson,2021,472,581,Fairway
Dustin Johnson,2021,33,61,Bunker
Dylan Frittelli,2021,223,422,Other
Dylan Frittelli,2021,401,520,Fairway
Dylan Frittelli,2021,27,60,Bunker
Emiliano Grillo,2021,250,402,Other
Emiliano Grillo,2021,699,868,Fairway
Emiliano Grillo,2021,35,70,Bunker
Erik van Rooyen,2021,160,333,Other
Erik van Rooyen,2021,471,621,Fairway
Erik van Rooyen,2021,31,62,Bunker
Fabián Gómez,2021,120,263,Other
Fabián Gómez,2021,351,463,Fairway
Fabián Gómez,2021,12,26,Bunker
Gary Woodland,2021,170,378,Other
Gary Woodland,2021,427,538,Fairway
Gary Woodland,2021,27,62,Bunker
Grayson Murray,2021,156,301,Other
Grayson Murray,2021,256,347,Fairway
Grayson Murray,2021,21,34,Bunker
Hank Lebioda,2021,192,341,Other
Hank Lebioda,2021,482,614,Fairway
Hank Lebioda,2021,29,49,Bunker
Harold Varner III,2021,224,417,Other
Harold Varner III,2021,588,752,Fairway
Harold Varner III,2021,49,87,Bunker
Harris English,2021,185,375,Other
Harris English,2021,624,828,Fairway
Harris English,2021,36,85,Bunker
Harry Higgs,2021,223,416,Other
Harry Higgs,2021,481,639,Fairway
Harry Higgs,2021,23,61,Bunker
Henrik Norlander,2021,179,327,Other
Henrik Norlander,2021,633,785,Fairway
Henrik Norlander,2021,34,58,Bunker
Hideki Matsuyama,2021,218,411,Other
Hideki Matsuyama,2021,627,808,Fairway
Hideki Matsuyama,2021,37,79,Bunker
Hudson Swafford,2021,183,351,Other
Hudson Swafford,2021,577,734,Fairway
Hudson Swafford,2021,33,63,Bunker
Hunter Mahan,2021,156,308,Other
Hunter Mahan,2021,307,445,Fairway
Hunter Mahan,2021,16,41,Bunker
Ian Poulter,2021,116,280,Other
Ian Poulter,2021,474,666,Fairway
Ian Poulter,2021,29,58,Bunker
J.B. Holmes,2021,158,307,Other
J.B. Holmes,2021,220,313,Fairway
J.B. Holmes,2021,25,48,Bunker
J.J. Spaun,2021,137,266,Other
J.J. Spaun,2021,527,694,Fairway
J.J. Spaun,2021,20,46,Bunker
J.T. Poston,2021,187,406,Other
J.T. Poston,2021,510,666,Fairway
J.T. Poston,2021,45,96,Bunker
James Hahn,2021,148,266,Other
James Hahn,2021,501,652,Fairway
James Hahn,2021,32,56,Bunker
Jason Day,2021,146,292,Other
Jason Day,2021,428,553,Fairway
Jason Day,2021,38,57,Bunker
Jason Dufner,2021,190,357,Other
Jason Dufner,2021,598,773,Fairway
Jason Dufner,2021,20,68,Bunker
Jason Kokrak,2021,212,411,Other
Jason Kokrak,2021,593,739,Fairway
Jason Kokrak,2021,40,78,Bunker
Jhonattan Vegas,2021,258,459,Other
Jhonattan Vegas,2021,567,697,Fairway
Jhonattan Vegas,2021,38,68,Bunker
Jim Herman,2021,134,273,Other
Jim Herman,2021,485,613,Fairway
Jim Herman,2021,14,32,Bunker
Jimmy Walker,2021,213,476,Other
Jimmy Walker,2021,352,486,Fairway
Jimmy Walker,2021,34,68,Bunker
Joaquin Niemann,2021,269,497,Other
Joaquin Niemann,2021,683,843,Fairway
Joaquin Niemann,2021,37,84,Bunker
Joel Dahmen,2021,153,305,Other
Joel Dahmen,2021,579,773,Fairway
Joel Dahmen,2021,27,66,Bunker
John Huh,2021,127,236,Other
John Huh,2021,400,529,Fairway
John Huh,2021,19,41,Bunker
Jon Rahm,2021,175,316,Other
Jon Rahm,2021,579,687,Fairway
Jon Rahm,2021,42,75,Bunker
Jordan Spieth,2021,244,480,Other
Jordan Spieth,2021,528,661,Fairway
