player,year,greens,holes,cut
Cody Gribble,2019,360,494,Fairway
Cody Gribble,2019,30,56,Bunker
Corey Conners,2019,205,351,Other
Corey Conners,2019,657,805,Fairway
Corey Conners,2019,25,47,Bunker
Curtis Luck,2019,172,329,Other
Curtis Luck,2019,344,459,Fairway
Curtis Luck,2019,18,33,Bunker
Daniel Berger,2019,160,276,Other
Daniel Berger,2019,433,605,Fairway
Daniel Berger,2019,24,43,Bunker
Danny Lee,2019,216,420,Other
Danny Lee,2019,511,645,Fairway
Danny Lee,2019,29,65,Bunker
Danny Willett,2019,179,313,Other
Danny Willett,2019,395,523,Fairway
Danny Willett,2019,22,42,Bunker
David Hearn,2019,93,177,Other
David Hearn,2019,349,458,Fairway
David Hearn,2019,10,20,Bunker
Denny McCarthy,2019,164,329,Other
Denny McCarthy,2019,573,744,Fairway
Denny McCarthy,2019,20,57,Bunker
Dominic Bozzelli,2019,164,325,Other
Dominic Bozzelli,2019,455,564,Fairway
Dominic Bozzelli,2019,16,48,Bunker
Dustin Johnson,2019,220,397,Other
Dustin Johnson,2019,429,544,Fairway
Dustin Johnson,2019,15,38,Bunker
Dylan Frittelli,2019,213,376,Other
Dylan Frittelli,2019,561,708,Fairway
Dylan Frittelli,2019,18,45,Bunker
Emiliano Grillo,2019,151,292,Other
Emiliano Grillo,2019,571,744,Fairway
Emiliano Grillo,2019,29,56,Bunker
Ernie Els,2019,117,248,Other
Ernie Els,2019,320,406,Fairway
Ernie Els,2019,14,31,Bunker
Fabián Gómez,2019,128,244,Other
Fabián Gómez,2019,467,591,Fairway
Fabián Gómez,2019,10,32,Bunker
Francesco Molinari,2019,117,218,Other
Francesco Molinari,2019,370,505,Fairway
Francesco Molinari,2019,16,37,Bunker
Freddie Jacobson,2019,108,245,Other
Freddie Jacobson,2019,320,431,Fairway
Freddie Jacobson,2019,21,35,Bunker
Gary Woodland,2019,196,372,Other
Gary Woodland,2019,606,747,Fairway
Gary Woodland,2019,23,59,Bunker
Graeme McDowell,2019,159,326,Other
Graeme McDowell,2019,478,620,Fairway
Graeme McDowell,2019,21,43,Bunker
Hank Lebioda,2019,151,290,Other
Hank Lebioda,2019,498,640,Fairway
Hank Lebioda,2019,20,45,Bunker
Harold Varner III,2019,209,398,Other
Harold Varner III,2019,543,686,Fairway
Harold Varner III,2019,37,60,Bunker
Harris English,2019,257,430,Other
Harris English,2019,588,782,Fairway
Harris English,2019,32,58,Bunker
Henrik Stenson,2019,78,169,Other
Henrik Stenson,2019,364,502,Fairway
Henrik Stenson,2019,10,25,Bunker
Hideki Matsuyama,2019,239,414,Other
Hideki Matsuyama,2019,591,755,Fairway
Hideki Matsuyama,2019,39,63,Bunker
Hudson Swafford,2019,158,302,Other
Hudson Swafford,2019,351,459,Fairway
Hudson Swafford,2019,23,35,Bunker
Hunter Mahan,2019,145,261,Other
Hunter Mahan,2019,435,540,Fairway
Hunter Mahan,2019,5,22,Bunker
Ian Poulter,2019,127,248,Other
Ian Poulter,2019,397,519,Fairway
Ian Poulter,2019,24,49,Bunker
J.B. Holmes,2019,205,384,Other
J.B. Holmes,2019,431,561,Fairway
J.B. Holmes,2019,19,48,Bunker
J.J. Henry,2019,116,220,Other
J.J. Henry,2019,358,473,Fairway
J.J. Henry,2019,19,34,Bunker
J.J. Spaun,2019,190,363,Other
J.J. Spaun,2019,578,729,Fairway
J.J. Spaun,2019,31,55,Bunker
J.T. Poston,2019,231,414,Other
J.T. Poston,2019,646,844,Fairway
J.T. Poston,2019,36,84,Bunker
Jason Day,2019,156,315,Other
Jason Day,2019,459,554,Fairway
Jason Day,2019,19,28,Bunker
Jason Dufner,2019,167,278,Other
Jason Dufner,2019,533,682,Fairway
Jason Dufner,2019,23,46,Bunker
Jason Kokrak,2019,222,416,Other
Jason Kokrak,2019,618,788,Fairway
Jason Kokrak,2019,26,52,Bunker
Jhonattan Vegas,2019,218,357,Other
Jhonattan Vegas,2019,463,594,Fairway
Jhonattan Vegas,2019,34,57,Bunker
Jim Furyk,2019,99,211,Other
Jim Furyk,2019,543,705,Fairway
Jim Furyk,2019,14,31,Bunker
Jim Herman,2019,92,175,Other
Jim Herman,2019,348,470,Fairway
Jim Herman,2019,8,25,Bunker
Jim Knous,2019,175,295,Other
Jim Knous,2019,317,408,Fairway
Jim Knous,2019,22,36,Bunker
Jimmy Walker,2019,204,401,Other
Jimmy Walker,2019,450,576,Fairway
Jimmy Walker,2019,30,58,Bunker
Joaquin Niemann,2019,259,446,Other
Joaquin Niemann,2019,640,827,Fairway
Joaquin Niemann,2019,24,67,Bunker
Joel Dahmen,2019,188,363,Other
Joel Dahmen,2019,696,918,Fairway
Joel Dahmen,2019,25,59,Bunker
Joey Garber,2019,145,272,Other
Joey Garber,2019,383,497,Fairway
Joey Garber,2019,7,26,Bunker
John Chin,2019,143,281,Other
John Chin,2019,354,439,Fairway
John Chin,2019,23,35,Bunker
Johnson Wagner,2019,142,235,Other
Johnson Wagner,2019,434,544,Fairway
Johnson Wagner,2019,16,32,Bunker
Jon Rahm,2019,157,304,Other
Jon Rahm,2019,476,595,Fairway
Jon Rahm,2019,23,53,Bunker
Jonas Blixt,2019,164,331,Other
Jonas Blixt,2019,517,681,Fairway
Jonas Blixt,2019,16,47,Bunker
Jonathan Byrd,2019,149,263,Other
Jonathan Byrd,2019,291,399,Fairway
Jonathan Byrd,2019,12,23,Bunker
Jordan Spieth,2019,239,464,Other
Jordan Spieth,2019,450,587,Fairway
Jordan Spieth,2019,29,54,Bunker
Josh Teater,2019,174,299,Other
Josh Teater,2019,466,595,Fairway
Josh Teater,2019,26,43,Bunker
José de Jesús Rodríguez,2019,178,322,Other
José de Jesús Rodríguez,2019,401,547,Fairway
José de Jesús Rodríguez,2019,16,38,Bunker
Julián Etulain,2019,184,364,Other
Julián Etulain,2019,379,496,Fairway
Julián Etulain,2019,22,45,Bunker
Justin Rose,2019,131,284,Other
Justin Rose,2019,402,522,Fairway
Justin Rose,2019,33,62,Bunker
Justin Thomas,2019,203,363,Other
Justin Thomas,2019,510,607,Fairway
Justin Thomas,2019,20,42,Bunker
K.H. Lee,2019,175,343,Other
K.H. Lee,2019,618,775,Fairway
K.H. Lee,2019,20,56,Bunker
Keegan Bradley,2019,173,337,Other
Keegan Bradley,2019,600,763,Fairway
Keegan Bradley,2019,23,50,Bunker
